     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.187,belief_find,b0ba6ff4e7d908c841df926c53593f09702fba5264c2230f8355fb9e8a320248,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
         1,         0,         0,   0.039,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
      6144,         3,         0,   0.021,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      2048,        19,         0,   0.037,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
         4,         0,         0,   0.098,bp_osd,90398baf398ad97eea4123916adefc62b5d77cf2ad7d080c13d43cd709fc2415,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      2048,         1,         0,   0.038,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      5120,         4,         0,   0.028,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      1160,         1,         0,   0.041,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
         2,         0,         0,   0.088,belief_find,68b106f4784274ace44e0db862ccd504ac407090e64b5336e359c480e5b3a524,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
     11264,       142,         0,   0.073,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      3072,        31,         0,   0.059,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
         4,         0,         0,   0.079,bp_osd,ed968c388b1c4e1b1aa25213fc01cb94dd7f8cfb1bc5a7bbfe65dc3f985d549c,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      1024,         1,         0,   0.038,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
         2,         0,         0,   0.085,belief_find,b0ba6ff4e7d908c841df926c53593f09702fba5264c2230f8355fb9e8a320248,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      5120,         2,         0,   0.045,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
         1,         0,         0,   0.248,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      2048,         1,         0,   0.054,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
         1,         0,         0,   0.272,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      9216,       119,         0,   0.047,pymatching-correlated,6609c392761a4477a0db6a3fda9200d15dea1f64d4476d68f83f3fc9978090b0,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      3618,        13,         0,   0.023,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      1024,         0,         0,   0.036,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
         1,         0,         0,   0.259,bp_osd,1da0e12676298acb068722f0806e2392354cf9f83bb925f4e526b6dbabd44b9f,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      1297,        30,         0,   0.020,pymatching,39e851e1bfc2a047bf4bcfc867945ca801621605062613c95bc93c8f1c222300,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
        16,         0,         0,   0.096,bp_osd,90398baf398ad97eea4123916adefc62b5d77cf2ad7d080c13d43cd709fc2415,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      2048,        13,         0,   0.046,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      5120,        14,         0,   0.026,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      4096,       108,         0,   0.024,pymatching,39e851e1bfc2a047bf4bcfc867945ca801621605062613c95bc93c8f1c222300,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
       546,         7,         0,   0.029,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
         1,         0,         0,   0.123,pymatching-correlated,8d31a5af7e47a29552746161a7872447a9c481206e8d6cc8a2df594c77d0c0d3,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
      5120,         7,         0,   0.060,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      3072,        71,         0,   0.020,pymatching,39e851e1bfc2a047bf4bcfc867945ca801621605062613c95bc93c8f1c222300,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
         1,         0,         0,   0.053,pymatching,609a63ff458140a138689d5fa6837d83a6ff73dc00ada72aa725c57c1a64b6f5,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
      6144,        15,         0,   0.032,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      2048,         0,         0,   0.069,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
         8,         0,         0,   0.128,belief_find,68b106f4784274ace44e0db862ccd504ac407090e64b5336e359c480e5b3a524,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      3072,         3,         0,   0.086,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      3072,        78,         0,   0.032,pymatching,39e851e1bfc2a047bf4bcfc867945ca801621605062613c95bc93c8f1c222300,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      8192,        86,         0,   0.074,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      1024,         5,         0,   0.061,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      8192,        31,         0,   0.037,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
         8,         0,         0,   0.142,belief_find,b0ba6ff4e7d908c841df926c53593f09702fba5264c2230f8355fb9e8a320248,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
         1,         0,         0,   0.282,pymatching-correlated,1539299af7a66d73d3ade7580cc0ccde40d86fd949af58973753d32dbb8103d2,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
     10240,         9,         0,   0.076,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      1092,         0,         0,   0.084,pymatching-correlated,8d31a5af7e47a29552746161a7872447a9c481206e8d6cc8a2df594c77d0c0d3,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
        16,         0,         0,   0.166,bp_osd,ed968c388b1c4e1b1aa25213fc01cb94dd7f8cfb1bc5a7bbfe65dc3f985d549c,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      7168,       206,         0,   0.044,pymatching,39e851e1bfc2a047bf4bcfc867945ca801621605062613c95bc93c8f1c222300,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      1024,        23,         0,   0.001,pymatching,39e851e1bfc2a047bf4bcfc867945ca801621605062613c95bc93c8f1c222300,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      1160,         7,         0,   0.090,pymatching,609a63ff458140a138689d5fa6837d83a6ff73dc00ada72aa725c57c1a64b6f5,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
         1,         0,         0,   0.352,belief_find,0fb7771dbd9887db4b6fc218263bbd2e3969225adaa47ea7567eb9e8ad439bb6,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      2048,         0,         0,   0.082,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
      1024,         9,         0,   0.069,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      8192,        29,         0,   0.048,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      2321,        54,         0,   0.013,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      5120,         7,         0,   0.105,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
        32,         0,         0,   0.114,belief_find,68b106f4784274ace44e0db862ccd504ac407090e64b5336e359c480e5b3a524,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
        64,         0,         0,   0.180,bp_osd,90398baf398ad97eea4123916adefc62b5d77cf2ad7d080c13d43cd709fc2415,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
     15360,       123,         0,   0.107,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      3072,        78,         0,   0.023,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      1024,         7,         0,   0.044,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      1024,         1,         0,   0.062,pymatching,609a63ff458140a138689d5fa6837d83a6ff73dc00ada72aa725c57c1a64b6f5,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
