family,parameter,true_phase,predicted_probability,predicted_label,distance_from_hc,physical_diagnostic
cluster,0.8,0,0.6335912178324742,1,0.19999999999999996,0.6195483172809434
cluster,0.81,0,0.6374467373407189,1,0.18999999999999995,0.6130695435408937
cluster,0.8200000000000001,0,0.6412188588064959,1,0.17999999999999994,0.6066743432760302
cluster,0.8300000000000001,0,0.6449077475663328,1,0.16999999999999993,0.6003636982309934
cluster,0.8400000000000001,0,0.6485137447783051,1,0.15999999999999992,0.5941383722518875
cluster,0.8500000000000001,0,0.6520373515970632,1,0.1499999999999999,0.587998926265302
cluster,0.86,0,0.6554792140366171,1,0.14,0.581945732918055
cluster,0.87,0,0.6588401083850128,1,0.13,0.575978990756116
cluster,0.88,0,0.662120927405789,1,0.12,0.5700987379390353
cluster,0.89,0,0.6653226672068122,1,0.10999999999999999,0.5643048653912661
cluster,0.9,0,0.6684464149189155,1,0.09999999999999998,0.5585971293920032
cluster,0.91,0,0.6714933371048717,1,0.08999999999999997,0.5529751635535177
cluster,0.92,0,0.6744646689439155,1,0.07999999999999996,0.5474384901832384
cluster,0.93,0,0.6773617041784004,1,0.06999999999999995,0.5419865310259399
cluster,0.9400000000000001,0,0.6801857857848531,1,0.05999999999999994,0.5366186173713959
cluster,0.95,0,0.6829382973787913,1,0.050000000000000044,0.5313339995589607
cluster,0.96,0,0.6856206553070838,1,0.040000000000000036,0.5261318558545932
cluster,0.97,0,0.6882343013945058,1,0.030000000000000027,0.5210113007558972
cluster,0.98,0,0.6907806963599147,1,0.020000000000000018,0.5159713927051431
cluster,0.99,0,0.6932613137731332,1,0.010000000000000009,0.5110111412607695
cluster,1.0,1,0.6956776346634644,1,0.0,0.5061295137322358
cluster,1.01,1,0.698031142578846,1,0.010000000000000009,0.501325441306787
cluster,1.02,1,0.7003233192001421,1,0.020000000000000018,0.4965978246974058
cluster,1.03,1,0.7025556404063126,1,0.030000000000000027,0.49194553933194934
cluster,1.04,1,0.704729572770243,1,0.040000000000000036,0.48736744010808414
cluster,1.05,1,0.7068465704647511,1,0.050000000000000044,0.48286236574586955
cluster,1.06,1,0.7089080725355631,1,0.06000000000000005,0.4784291427574592
cluster,1.07,1,0.710915500520041,1,0.07000000000000006,0.47406658905452553
cluster,1.08,1,0.7128702563793318,1,0.08000000000000007,0.4697735172310555
cluster,1.09,1,0.7147737207177249,1,0.09000000000000008,0.4655487375264944
cluster,1.1,1,0.7166272512707552,1,0.10000000000000009,0.461391060503119
cluster,1.1099999999999999,1,0.7184321816266884,1,0.10999999999999988,0.4572992994573955
cluster,1.12,1,0.7201898201702677,1,0.1200000000000001,0.45327227257560504
cluster,1.13,1,0.7219014492223983,1,0.1299999999999999,0.44930880486821984
cluster,1.1400000000000001,1,0.723568324357495,1,0.14000000000000012,0.44540772988630867
cluster,1.15,1,0.725191673883735,1,0.1499999999999999,0.44156789124412527
cluster,1.16,1,0.7267726984653997,1,0.15999999999999992,0.43778814396521404
cluster,1.17,1,0.7283125708754054,1,0.16999999999999993,0.43406735565381976
cluster,1.18,1,0.7298124358602536,1,0.17999999999999994,0.43040440753258863
cluster,1.19,1,0.7312734101145042,1,0.18999999999999995,0.42679819532689023
cluster,1.2,1,0.7326965823371254,1,0.19999999999999996,0.42324763002530846
