family,parameter,true_phase,predicted_probability,predicted_label,distance_from_hc,physical_diagnostic
tfim,0.8,0,0.447210625561561,0,0.19999999999999996,0.3207891501380674
tfim,0.81,0,0.45214781991525366,0,0.18999999999999995,0.3069749787462589
tfim,0.8200000000000001,0,0.4569443145810747,0,0.17999999999999994,0.2934975368189079
tfim,0.8300000000000001,0,0.46159600425837444,0,0.16999999999999993,0.28037769083528397
tfim,0.8400000000000001,0,0.4660997623866657,0,0.15999999999999992,0.2676332355780635
tfim,0.8500000000000001,0,0.47045341364294146,0,0.1499999999999999,0.2552788663019562
tfim,0.86,0,0.47465569217301795,0,0.14,0.24332620953850523
tfim,0.87,0,0.47870618800184167,0,0.13,0.2317839061076417
tfim,0.88,0,0.482605284290537,0,0.12,0.22065773870142133
tfim,0.89,0,0.48635408786463585,0,0.10999999999999999,0.20995079616206674
tfim,0.9,0,0.48995435560256334,0,0.09999999999999998,0.19966366567238802
tfim,0.91,0,0.4934084187970344,0,0.08999999999999997,0.18979464548341118
tfim,0.92,0,0.4967191074485768,0,0.07999999999999996,0.18033997033928656
tfim,0.93,0,0.4998896762185155,0,0.06999999999999995,0.17129404258296044
tfim,0.9400000000000001,0,0.5029237333043056,1,0.05999999999999994,0.16264966362911118
tfim,0.95,0,0.505825173299745,1,0.050000000000000044,0.15439826053234423
tfim,0.96,0,0.5085981148014816,1,0.040000000000000036,0.14653010365297037
tfim,0.97,0,0.5112468432650259,1,0.030000000000000027,0.13903451284093163
tfim,0.98,0,0.5137757593367852,1,0.020000000000000018,0.13190004870537536
tfim,0.99,0,0.5161893327780692,1,0.010000000000000009,0.12511468942616527
tfim,1.0,1,0.5184920618984032,1,0.0,0.11866599044217394
tfim,1.01,1,0.5206884383184587,1,0.010000000000000009,0.11254122790661723
tfim,1.02,1,0.5227829167431375,1,0.020000000000000018,0.10672752562038716
tfim,1.03,1,0.5247798894617032,1,0.030000000000000027,0.1012119661525652
tfim,1.04,1,0.526683665134918,1,0.040000000000000036,0.0959816868681915
tfim,1.05,1,0.5284984515270443,1,0.050000000000000044,0.09102396178358232
tfim,1.06,1,0.5302283417309079,1,0.06000000000000005,0.08632627044593816
tfim,1.07,1,0.53187730351902,1,0.07000000000000006,0.08187635487071016
tfim,1.08,1,0.5334491714287635,1,0.08000000000000007,0.0776622657575338
tfim,1.09,1,0.5349476412307106,1,0.09000000000000008,0.07367239910396364
tfim,1.1,1,0.5363762664358975,1,0.10000000000000009,0.06989552433561594
tfim,1.1099999999999999,1,0.5377384565466072,1,0.10999999999999988,0.06632080499659543
tfim,1.12,1,0.5390374767947487,1,0.1200000000000001,0.06293781296536247
tfim,1.13,1,0.5402764490651174,1,0.1299999999999999,0.05973653712161392
tfim,1.1400000000000001,1,0.5414583538500934,1,0.14000000000000012,0.05670738728178405
tfim,1.15,1,0.5425860330060879,1,0.1499999999999999,0.05384119411761898
tfim,1.16,1,0.5436621931503013,1,0.15999999999999992,0.05112920576349553
tfim,1.17,1,0.5446894095594008,1,0.16999999999999993,0.04856308166860061
tfim,1.18,1,0.5456701304411566,1,0.17999999999999994,0.046134884228231796
tfim,1.19,1,0.5466066814732875,1,0.18999999999999995,0.043837068648289894
tfim,1.2,1,0.5475012705221047,1,0.19999999999999996,0.041662471425932976
