n,qber,success,disclosed_bits,messages,rounds,elapsed_ms,f_ec
2000,0.01,True,168,168,4,1.363600000331644,1.0396922841096345
2000,0.02,True,254,254,4,1.1056000003009103,0.89790379559983
2000,0.03,True,430,430,4,1.7289000024902634,1.106013401992788
5000,0.01,True,463,463,4,2.0733999990625307,1.1461369703399067
5000,0.02,True,1005,1005,5,4.099300000234507,1.4210918339808332
5000,0.03,True,1284,1284,5,5.039199997554533,1.3210429843337115
10000,0.01,True,863,863,4,3.923600001144223,1.068160049031684
10000,0.02,True,1964,1964,5,7.864100000006147,1.3885693342976897
10000,0.03,True,2278,2278,4,8.81179999851156,1.171859781274219
