distance_km,y1_lower,e1_upper,secret_fraction
0,0.24420593746016922,0.016722157987936997,0.03218119678491224
5,0.19369714047807057,0.016791657599437432,0.025398014652757185
10,0.15367272120341696,0.016849868944825364,0.020067717645147795
15,0.12194484429465612,0.01689921698452601,0.015871409814238565
20,0.09678532783045708,0.016941890504097574,0.012562585405537768
25,0.07682847902914207,0.016979878036274123,0.009950025424689948
30,0.06099442712071842,0.01700698518187253,0.007885449963172553
35,0.04842876679588469,0.017025900907508065,0.0062522283450367235
40,0.038455072308704256,0.01704132647491046,0.004959035011461486
45,0.03053752618506391,0.017054034400522784,0.003934436254977067
50,0.024251484616670614,0.017064670295661062,0.0031222331060797802
55,0.01926027056920537,0.017073780791853115,0.002478132868991169
60,0.015296857654177763,0.017081838517487725,0.0019671746461665403
65,0.01214939951752283,0.01708926462798062,0.0015617294375685107
70,0.009649786975985161,0.017096449552300927,0.0012399406528632018
75,0.007664592206444828,0.017103772714318663,0.0009845040480009346
80,0.006087897177914848,0.017111622056495007,0.0007817105469955926
85,0.004835611043442286,0.01711878126448408,0.0006207026206581725
90,0.0038409652338793087,0.017125779610116472,0.000492857250925097
95,0.003050940798408515,0.017133897760189365,0.0003913330536665037
100,0.0024234341800828184,0.017143567582834432,0.00031070656923759624
105,0.0019250082250069662,0.01715530362018183,0.0002466734555319079
110,0.001529107213865225,0.0171697304010069,0.0001958169680329361
115,0.0012146399419001577,0.01718761560040699,0.00015542455369121834
120,0.0009648548088156782,0.01720991079111576,0.00012334248038388106
125,0.0007664466439405127,0.01723780192859783,9.786056357907665e-05
130,0.0006088474681568718,0.017272772217471567,7.762072701245014e-05
135,0.00048366327518100174,0.017316680644836886,6.154444922298569e-05
140,0.00038422674525631905,0.01737181725972681,4.877520141055473e-05
145,0.00030524201255277095,0.017440489557691244,3.863290874588452e-05
150,0.00024250253144500813,0.01752686165830314,3.057699739984574e-05
155,0.0001926669934711391,0.017635512646120528,2.4178350558969712e-05
160,0.00015308134685041293,0.017772196048263255,1.9096144703134923e-05
165,0.00012163743099929051,0.017944139242767894,1.5059684059740335e-05
170,9.666069190386309e-05,0.018160417293307175,1.1853974587250442e-05
175,7.682099505526669e-05,0.01843241876589286,9.308267097916902e-06
180,6.106178401718718e-05,0.01877442463287031,7.2869579245490265e-06
