permutation_id,optimizer_seed,test_ba_permuted,test_brier
1,6321,0.6752136752136753,0.24466013150925167
2,6358,0.5,0.29142704454768137
3,6395,0.3916666666666667,0.2540990580094802
4,6432,0.55,0.24214736339931975
5,6469,0.5,0.2525585670806755
6,6506,0.45833333333333337,0.2664983726091832
7,6543,0.5,0.2541464458347765
8,6580,0.5,0.25465029404130235
9,6617,0.35416666666666663,0.2782467625055148
10,6654,0.5256410256410257,0.2461892549340498
11,6691,0.5416666666666667,0.2491922811022702
12,6728,0.5256410256410257,0.24796047779465438
13,6765,0.26666666666666666,0.2995880918775305
14,6802,0.4145299145299145,0.25495849973271595
15,6839,0.5454545454545454,0.2524534325536218
16,6876,0.5238095238095238,0.2643128826784522
17,6913,0.3392857142857143,0.2965850145748629
18,6950,0.5,0.26262572511472704
19,6987,0.5,0.2515714049627444
20,7024,0.40909090909090906,0.2742635232072802
21,7061,0.5,0.25230017069853605
22,7098,0.4375,0.2700395315475849
23,7135,0.5357142857142857,0.25680925098477586
24,7172,0.6,0.2454718871126962
25,7209,0.55,0.25154728472970167
26,7246,0.4658119658119658,0.2630064951060184
27,7283,0.3660714285714286,0.2631200266775288
28,7320,0.6607142857142857,0.24451039434295352
29,7357,0.6339285714285714,0.27378145360440337
30,7394,0.5916666666666667,0.23957501358137365
31,7431,0.5,0.2709887846835871
32,7468,0.3666666666666667,0.2830945858425526
33,7505,0.5,0.26330176583274695
34,7542,0.4910714285714286,0.249279387344142
35,7579,0.6333333333333333,0.24494894211623253
36,7616,0.6,0.23648950089686832
37,7653,0.4487179487179487,0.25148166441629827
38,7690,0.5,0.25604386484653435
39,7727,0.5454545454545454,0.23350832572971122
40,7764,0.5909090909090908,0.24932454335818724
41,7801,0.3916666666666667,0.25036787452523906
42,7838,0.2767857142857143,0.25743356877072643
43,7875,0.5,0.2551722836771628
44,7912,0.5641025641025641,0.2514749767830764
45,7949,0.45833333333333337,0.2708161125717798
46,7986,0.5085470085470085,0.24972601124020652
47,8023,0.6794871794871795,0.23222358985442024
48,8060,0.5,0.2594535682884791
49,8097,0.55,0.25691154072488165
50,8134,0.6752136752136753,0.23414999785355822
51,8171,0.40909090909090906,0.26375318180235213
52,8208,0.5,0.2596091578802383
53,8245,0.5,0.2599064164686515
54,8282,0.5,0.24933267515612156
55,8319,0.6,0.2545266226923777
56,8356,0.5,0.25137866094962263
57,8393,0.5,0.258731547820423
58,8430,0.5909090909090909,0.24743127760858388
59,8467,0.26666666666666666,0.30697092843307355
60,8504,0.5854700854700855,0.2320922980415899
61,8541,0.5,0.28326376809319803
62,8578,0.6416666666666666,0.23550549017212322
63,8615,0.45726495726495725,0.24757597984636545
64,8652,0.6833333333333333,0.23556165055503328
65,8689,0.55,0.24272384182624596
66,8726,0.55,0.25922311007830195
67,8763,0.6025641025641025,0.24701460669599584
68,8800,0.3666666666666667,0.2945336210254864
69,8837,0.5470085470085471,0.25049461296592224
70,8874,0.5683760683760684,0.24379793684952292
71,8911,0.5909090909090908,0.24609039681516462
