run_id,optimizer_seed,train_ba_shuffled,train_ba_real,test_ba_real,test_brier
1,1777,0.5918367346938775,0.9387755102040816,0.9545454545454546,0.20433897504157647
2,1808,0.5816326530612245,0.8673469387755102,0.9545454545454546,0.1857519942076167
3,1839,0.6020408163265306,0.9285714285714286,0.9545454545454546,0.17019242661259354
4,1870,0.5408163265306123,0.15306122448979592,0.045454545454545456,0.32066171419422973
5,1901,0.5306122448979591,0.061224489795918366,0.18181818181818182,0.2607857660633987
6,1932,0.5918367346938775,0.08163265306122448,0.045454545454545456,0.3603099976671768
7,1963,0.5612244897959183,0.6836734693877551,0.6363636363636364,0.2368137602719318
8,1994,0.5714285714285714,0.8979591836734694,0.9545454545454546,0.15984919103860665
9,2025,0.5408163265306123,0.6020408163265306,0.5454545454545454,0.24208842486411833
10,2056,0.4897959183673469,0.9387755102040816,0.9090909090909092,0.24128007534258328
11,2087,0.5408163265306123,0.6836734693877551,0.6363636363636364,0.2464374597750271
12,2118,0.5510204081632653,0.6938775510204082,0.6363636363636364,0.24555571305661783
13,2149,0.5510204081632653,0.7959183673469388,0.9090909090909092,0.22159614657378512
14,2180,0.5714285714285714,0.04081632653061224,0.045454545454545456,0.3069588106950038
15,2211,0.5612244897959184,0.9489795918367347,0.9545454545454546,0.1958552078103466
16,2242,0.5408163265306123,0.05102040816326531,0.045454545454545456,0.28097247060243075
17,2273,0.5612244897959183,0.19387755102040816,0.13636363636363635,0.2581157139254194
18,2304,0.6122448979591837,0.08163265306122448,0.045454545454545456,0.3890165731939805
19,2335,0.5612244897959183,0.8877551020408163,0.9545454545454546,0.20034527518682174
20,2366,0.5204081632653061,0.1326530612244898,0.045454545454545456,0.27836504006518575
21,2397,0.5,0.09183673469387756,0.045454545454545456,0.283704296110184
22,2428,0.5408163265306123,0.1326530612244898,0.045454545454545456,0.34911277114268285
23,2459,0.5306122448979591,0.12244897959183673,0.045454545454545456,0.28320925443536876
24,2490,0.5306122448979592,0.9183673469387755,0.9545454545454546,0.19230394890236388
25,2521,0.5612244897959184,0.9489795918367347,0.9545454545454546,0.23626615028284084
