run_id,optimizer_seed,train_ba_shuffled,train_ba_real,test_ba_real,test_brier
1,1777,0.5816326530612245,0.9285714285714286,0.9545454545454546,0.19977505579114954
2,1808,0.5816326530612245,0.8673469387755102,0.9545454545454546,0.18575199420761115
3,1839,0.6020408163265306,0.9285714285714286,0.9545454545454546,0.16956052416496897
4,1870,0.5510204081632653,0.14285714285714285,0.045454545454545456,0.3226926539981524
5,1901,0.5102040816326531,0.32653061224489793,0.36363636363636365,0.2571300417405702
6,1932,0.5918367346938775,0.08163265306122448,0.045454545454545456,0.3603099976671675
7,1963,0.5612244897959183,0.6836734693877551,0.6363636363636364,0.23681376027193657
8,1994,0.5918367346938775,0.8775510204081632,0.9545454545454546,0.16178718306748574
9,2025,0.5408163265306123,0.6020408163265306,0.5454545454545454,0.2420884248642139
10,2056,0.4897959183673469,0.9183673469387755,0.9090909090909092,0.24064004246626797
11,2087,0.5102040816326531,0.7755102040816326,0.8636363636363636,0.2440123328992008
12,2118,0.5204081632653061,0.9285714285714286,0.9090909090909092,0.24189987153465073
13,2149,0.5204081632653061,0.846938775510204,0.9545454545454546,0.21972252711632131
14,2180,0.5714285714285714,0.04081632653061224,0.045454545454545456,0.30695881069501985
15,2211,0.5612244897959183,0.9081632653061225,0.9545454545454546,0.1937689382461677
16,2242,0.5408163265306123,0.05102040816326531,0.045454545454545456,0.2765954194950318
17,2273,0.5306122448979592,0.20408163265306123,0.2727272727272727,0.261795508758516
18,2304,0.6122448979591837,0.08163265306122448,0.045454545454545456,0.3890165731939812
19,2335,0.5714285714285714,0.8979591836734694,0.9545454545454546,0.20012113043101143
20,2366,0.4897959183673469,0.04081632653061224,0.045454545454545456,0.2711195850988556
21,2397,0.5,0.09183673469387756,0.045454545454545456,0.2835299742013376
22,2428,0.5510204081632653,0.14285714285714285,0.045454545454545456,0.35257703796535567
23,2459,0.5306122448979591,0.12244897959183673,0.045454545454545456,0.28320925443545164
24,2490,0.5306122448979592,0.9183673469387755,0.9545454545454546,0.19230394890236094
25,2521,0.5408163265306123,0.9285714285714286,0.9545454545454546,0.23753012021829847
