comparison,architecture_a,architecture_b,n_paired_runs,delta_iid_mean,delta_iid_ci95_low,delta_iid_ci95_high,delta_crit_mean,delta_crit_ci95_low,delta_crit_ci95_high,delta_ham_mean,delta_ham_ci95_low,delta_ham_ci95_high
no_conv_vs_full,expressive_no_conv_entanglement,expressive_shared_line,10,-0.009090909090909084,-0.022727272727272707,0.0,-0.015384615384615385,-0.05384615384615386,0.026923076923076928,0.0,0.0,0.0
no_pool_vs_full,expressive_no_pool_entanglement,expressive_shared_line,10,0.022727272727272728,0.004545454545454542,0.04090909090909093,0.09230769230769234,0.05769230769230772,0.13076923076923083,0.0,0.0,0.0
no_entanglement_vs_full,expressive_no_entanglement,expressive_shared_line,10,-0.4363636363636364,-0.4636363636363637,-0.40909090909090906,-0.11923076923076921,-0.15,-0.08461538461538459,-0.4545454545454547,-0.4545454545454547,-0.4545454545454547
no_pooling_vs_full,expressive_no_pooling,expressive_shared_line,10,-0.004545454545454542,-0.013636363636363624,0.0,-0.10384615384615384,-0.1423076923076923,-0.06153846153846153,0.0,0.0,0.0
unshared_vs_full,expressive_unshared_line,expressive_shared_line,10,-0.009090909090909084,-0.022727272727272707,0.0,-0.02307692307692307,-0.05769230769230771,0.011538461538461576,0.0,0.0,0.0
no_conv_vs_no_pool,expressive_no_conv_entanglement,expressive_no_pool_entanglement,10,-0.031818181818181815,-0.05,-0.013636363636363636,-0.10769230769230773,-0.13461538461538466,-0.08076923076923077,0.0,0.0,0.0
