architecture,parameter_count,two_qubit_gates,n_runs,iid_ba_mean,iid_ba_std,iid_ba_median,iid_ba_ci95_low,iid_ba_ci95_high,critical_ood_ba_mean,critical_ood_ba_std,critical_ood_ba_median,critical_ood_ba_ci95_low,critical_ood_ba_ci95_high,hamiltonian_ood_ba_mean,hamiltonian_ood_ba_std,hamiltonian_ood_ba_median,hamiltonian_ood_ba_ci95_low,hamiltonian_ood_ba_ci95_high
expressive_no_conv_entanglement,21,14,10,0.9272727272727274,0.048862168171506355,0.9090909090909092,0.9,0.9545454545454547,0.6038461538461538,0.048140982962868194,0.5961538461538461,0.5769230769230769,0.6307692307692309,0.9545454545454547,1.1702778228589004e-16,0.9545454545454546,0.9545454545454547,0.9545454545454547
expressive_no_entanglement,21,0,10,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
expressive_no_pool_entanglement,27,22,10,0.9590909090909092,0.025802100554433917,0.9545454545454546,0.9454545454545455,0.9727272727272729,0.7115384615384616,0.02027101064210504,0.7115384615384616,0.7,0.7230769230769232,0.9545454545454547,1.1702778228589004e-16,0.9545454545454546,0.9545454545454547,0.9545454545454547
expressive_no_pooling,18,42,10,0.931818181818182,0.04909652044248378,0.9318181818181819,0.9045454545454545,0.9590909090909092,0.5153846153846153,0.01986145305747392,0.5,0.5038461538461538,0.5269230769230768,0.9545454545454547,1.1702778228589004e-16,0.9545454545454546,0.9545454545454547,0.9545454545454547
expressive_shared_line,27,36,10,0.9363636363636363,0.048862168171506355,0.9545454545454546,0.909090909090909,0.9636363636363636,0.6192307692307691,0.058610920259807506,0.6346153846153846,0.5846153846153845,0.6500000000000001,0.9545454545454547,1.1702778228589004e-16,0.9545454545454546,0.9545454545454547,0.9545454545454547
expressive_unshared_line,87,36,10,0.9272727272727274,0.048862168171506355,0.9090909090909092,0.9,0.9545454545454547,0.596153846153846,0.032686022523030704,0.5961538461538461,0.5769230769230769,0.6153846153846154,0.9545454545454547,1.1702778228589004e-16,0.9545454545454546,0.9545454545454547,0.9545454545454547
