family,split_type,n_partitions,n_spatial_partitions,n_optimizer_seeds,n_runs,spatial_uncertainty_note,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_flat_ci95_low,balanced_accuracy_flat_ci95_high,accuracy_mean,accuracy_std,accuracy_median,accuracy_ci95_low,accuracy_ci95_high,accuracy_flat_ci95_low,accuracy_flat_ci95_high,f1_mean,f1_std,f1_median,f1_ci95_low,f1_ci95_high,f1_flat_ci95_low,f1_flat_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_flat_ci95_low,roc_auc_flat_ci95_high,fixed_threshold_ba_mean,fixed_threshold_ba_std,fixed_threshold_ba_median,fixed_threshold_ba_ci95_low,fixed_threshold_ba_ci95_high,fixed_threshold_ba_flat_ci95_low,fixed_threshold_ba_flat_ci95_high,validation_selected_test_ba_mean,validation_selected_test_ba_std,validation_selected_test_ba_median,validation_selected_test_ba_ci95_low,validation_selected_test_ba_ci95_high,validation_selected_test_ba_flat_ci95_low,validation_selected_test_ba_flat_ci95_high,recalibrated_ba_mean,recalibrated_ba_std,recalibrated_ba_median,recalibrated_ba_ci95_low,recalibrated_ba_ci95_high,recalibrated_ba_flat_ci95_low,recalibrated_ba_flat_ci95_high,score_separation_mean,score_separation_std,score_separation_median,score_separation_ci95_low,score_separation_ci95_high,score_separation_flat_ci95_low,score_separation_flat_ci95_high,mean_score_class_0_mean,mean_score_class_0_std,mean_score_class_0_median,mean_score_class_0_ci95_low,mean_score_class_0_ci95_high,mean_score_class_0_flat_ci95_low,mean_score_class_0_flat_ci95_high,mean_score_class_1_mean,mean_score_class_1_std,mean_score_class_1_median,mean_score_class_1_ci95_low,mean_score_class_1_ci95_high,mean_score_class_1_flat_ci95_low,mean_score_class_1_flat_ci95_high,brier_score_mean,brier_score_std,brier_score_median,brier_score_ci95_low,brier_score_ci95_high,brier_score_flat_ci95_low,brier_score_flat_ci95_high,cross_entropy_mean,cross_entropy_std,cross_entropy_median,cross_entropy_ci95_low,cross_entropy_ci95_high,cross_entropy_flat_ci95_low,cross_entropy_flat_ci95_high,ece_mean,ece_std,ece_median,ece_ci95_low,ece_ci95_high,ece_flat_ci95_low,ece_flat_ci95_high,generalization_regime
cluster,critical_holdout,10,10,5,50,hierarchical bootstrap across 10 spatial partitions,0.521978021978022,0.07918844141376194,0.5,0.5015384615384615,0.5553846153846154,0.5042857142857143,0.5458241758241759,0.5392592592592592,0.07525885454685523,0.5185185185185185,0.52,0.5718518518518518,0.5222222222222223,0.5622222222222222,0.691040307633287,0.045464112433319825,0.6829268292682927,0.6786516572858037,0.7118692350822713,0.6808052631578946,0.7050807662229909,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.521978021978022,0.07918844141376194,0.5,0.5015384615384615,0.5553846153846154,0.5042857142857143,0.5458241758241759,0.5227472527472528,0.0791573917146524,0.5,0.5030769230769231,0.5561593406593406,0.5046153846153846,0.5463791208791209,0.5615384615384615,0.058665265121051156,0.5576923076923077,0.5361538461538461,0.5923269230769228,0.5453846153846154,0.5784615384615384,0.07023840514663243,0.009853805149452426,0.07071603430872425,0.06704133496834756,0.07325695479142978,0.06756484410540464,0.07293059652606651,0.6006922869080356,0.041163006576495145,0.6079436381414356,0.5842688825969328,0.6140840224873622,0.5882710940548175,0.6111152127218104,0.6709306920546679,0.044559341662797784,0.6839293335723319,0.6534423037277827,0.6846877254509294,0.6575705288353121,0.6822330326538738,0.23211975156457473,0.007233950370810266,0.23160960383018359,0.229676122681509,0.23470139410411867,0.23013899040828062,0.23403482233528142,0.6535149563662618,0.013983323532078845,0.6533948376722447,0.6488493851038494,0.6585289952950134,0.6496969090079647,0.6572007378994037,0.2398553136188987,0.06976944128662381,0.2366875370190981,0.21436859614560158,0.26623424939784673,0.22160998390030937,0.25946764903872555,ranking preserved but classification degraded
cluster,iid,10,10,5,50,hierarchical bootstrap across 10 spatial partitions,0.8354545454545453,0.06865328644171209,0.8181818181818181,0.7972727272727274,0.87,0.8163636363636365,0.8536363636363637,0.8354545454545453,0.06865328644171206,0.8181818181818182,0.7972727272727274,0.87,0.8163636363636365,0.8536363636363637,0.861632018545062,0.05085312657872835,0.8461538461538461,0.8341811030595814,0.8876585098476404,0.8476934062394932,0.8752696457326892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8354545454545453,0.06865328644171209,0.8181818181818181,0.7972727272727274,0.87,0.8163636363636365,0.8536363636363637,0.9445454545454546,0.04884394693270516,0.9545454545454546,0.9136363636363636,0.9727272727272728,0.9309090909090911,0.9572727272727274,0.8318181818181817,0.06887403712855983,0.8181818181818181,0.7936363636363637,0.8681818181818182,0.8127272727272729,0.85,0.27113819583723986,0.049956070818388175,0.26798174629818594,0.24780887953880512,0.2932285090037593,0.25790122852072905,0.284762875261483,0.4351673045302305,0.04314050086344409,0.4394020452601125,0.4161797122512732,0.4542955835476426,0.4234296239661359,0.4468687039910808,0.7063055003674704,0.022444327059097404,0.7106919427039268,0.6979670408007855,0.7140195451979658,0.7000305328147622,0.7124734114441378,0.14538752644668343,0.019169113657207457,0.14531154645168182,0.13635887694168922,0.15478096604743088,0.14016777860363167,0.15055684855868134,0.47102179491630947,0.04163357942770182,0.47081717802773965,0.4515502731502956,0.49120052563563305,0.4596406563752729,0.48220040387217517,0.3293846832254123,0.040103362233973434,0.33583648900595187,0.3134745538064731,0.34385630502261266,0.318085801900953,0.3403431961280693,discrimination and classification preserved
cluster,parameter_block,1,1,10,10,optimizer-seed variability on one canonical spatial block,0.5391891891891891,0.043881365325973185,0.5202702702702703,0.5135135135135135,0.5648648648648649,0.5135135135135135,0.5648648648648649,0.5453333333333333,0.043296280454960166,0.5266666666666666,0.5200000000000001,0.5706666666666667,0.5200000000000001,0.5706666666666667,0.6908263961130666,0.020526958491857546,0.6817377312952535,0.6788421196435891,0.702810672582544,0.6788421196435891,0.702810672582544,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5391891891891891,0.043881365325973185,0.5202702702702703,0.5135135135135135,0.5648648648648649,0.5135135135135135,0.5648648648648649,0.5472972972972974,0.03887990203070288,0.5405405405405406,0.5243243243243244,0.5702702702702702,0.5243243243243244,0.5702702702702702,0.9629089615931721,0.03804661126243158,0.9736842105263157,0.9379445234708392,0.9773115220483641,0.9379445234708392,0.9773115220483641,0.19013943965073415,0.013673487429907715,0.1927405619989207,0.18119336062670707,0.19716356524318493,0.18119336062670707,0.19716356524318493,0.6026917815796426,0.018188975434957257,0.5990497352129116,0.5928642160723026,0.614447250424926,0.5928642160723026,0.614447250424926,0.7928312212303769,0.013986185971234645,0.792455050533301,0.7856199529200993,0.8017474649842574,0.7856199529200993,0.8017474649842574,0.20425154197379464,0.008944017710454872,0.20219715269688984,0.19976527328704533,0.21023428328059313,0.19976527328704533,0.21023428328059313,0.5827383660132243,0.017996208484657005,0.5787529555026795,0.574089462652372,0.5948962260374716,0.574089462652372,0.5948962260374716,0.32591490057310274,0.01798173887345715,0.3235355639926617,0.31621027221976716,0.3371798982065228,0.31621027221976716,0.3371798982065228,ranking preserved but classification degraded
tfim,critical_holdout,10,10,5,50,hierarchical bootstrap across 10 spatial partitions,0.576923076923077,0.09194066225649182,0.5384615384615384,0.5461538461538461,0.6130769230769231,0.553076923076923,0.6023076923076922,0.5925925925925926,0.08853545254328841,0.5555555555555556,0.562962962962963,0.6274074074074074,0.5696296296296296,0.617037037037037,0.7208163999307999,0.04783339764381345,0.7,0.704883047179464,0.7397837530898658,0.7083556118404642,0.7340513388197638,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.576923076923077,0.09194066225649182,0.5384615384615384,0.5461538461538461,0.6130769230769231,0.553076923076923,0.6023076923076922,0.576923076923077,0.09194066225649182,0.5384615384615384,0.5461538461538461,0.6130769230769231,0.553076923076923,0.6023076923076922,0.5069230769230769,0.018535305267508777,0.5,0.5,0.5169230769230768,0.5023076923076922,0.5123076923076922,0.07423715189472713,0.008347037710599496,0.07551191098555193,0.07164191923640259,0.07678322268472736,0.07195512510003155,0.07655600854391155,0.5421542082708162,0.025814373066479157,0.5465834358829995,0.5320643760798279,0.5522069528300945,0.5351335425121296,0.5491191118050651,0.6163913601655434,0.03175271714457618,0.6244838253492442,0.6044558432028806,0.627786703781572,0.6076939954513063,0.6249475295635217,0.21918679796473267,0.0031146594644719753,0.219297477226222,0.21811285820950263,0.2203540611094882,0.21833020563539154,0.2200557004178893,0.6296518728169738,0.006214651443562406,0.6298233212336335,0.6276256672768227,0.6318042987715291,0.6279152674360831,0.631352634909433,0.327778647728715,0.11111966154577689,0.3667397967167095,0.28465941764466074,0.3666550133683665,0.2982908789138279,0.3568782418307061,ranking preserved but classification degraded
tfim,iid,10,10,5,50,hierarchical bootstrap across 10 spatial partitions,0.9145454545454546,0.04558423058385518,0.9090909090909092,0.89,0.9418181818181819,0.901818181818182,0.9272727272727274,0.9145454545454546,0.04558423058385518,0.9090909090909091,0.89,0.9418181818181819,0.9018181818181819,0.9272727272727272,0.9228969899665551,0.03950497181055664,0.9166666666666666,0.901713043478261,0.9468323188405796,0.912167491638796,0.934098768115942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9145454545454546,0.04558423058385518,0.9090909090909092,0.89,0.9418181818181819,0.901818181818182,0.9272727272727274,0.9445454545454546,0.04525932102136785,0.9545454545454546,0.9163636363636365,0.9709090909090909,0.9318181818181819,0.9563636363636364,0.8445454545454545,0.06434144245929911,0.8409090909090908,0.8081818181818182,0.8827272727272727,0.8272727272727272,0.8618181818181818,0.2876077037015825,0.04471324310877922,0.2801094982616379,0.2636365099306607,0.3124550021386308,0.2753701931183897,0.2998507062341745,0.34908882385514445,0.03911238520360662,0.34796099609841885,0.3255121292930244,0.3715742691548209,0.33830576404591595,0.3599544973836651,0.6366965275567269,0.029245335585281185,0.6376711515070341,0.6269337827313474,0.6461630228182192,0.6285590913688291,0.6447770966731153,0.13628990411077405,0.015061177394682122,0.13902598565675123,0.12810898365330686,0.1445738278353461,0.13221838655977158,0.1404232790487486,0.45190491402836386,0.034284047193513405,0.4583872231154892,0.43293042843250695,0.47068294612078754,0.44256352438108054,0.46130391601844073,0.3197807424720062,0.03224491344997945,0.3176104771691972,0.30509913665024835,0.3352198570389967,0.3111616541795717,0.32894554218183386,discrimination and classification preserved
tfim,parameter_block,1,1,10,10,optimizer-seed variability on one canonical spatial block,0.9063620071684587,0.06429449962759243,0.903225806451613,0.8684139784946237,0.9439964157706091,0.8684139784946237,0.9439964157706091,0.9104477611940298,0.06371267897943134,0.9104477611940298,0.8716417910447761,0.9477611940298507,0.8716417910447761,0.9477611940298507,0.9187666961278074,0.06433854664025593,0.923228670064113,0.8780721764901958,0.9537655977109027,0.8780721764901958,0.9537655977109027,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9063620071684587,0.06429449962759243,0.903225806451613,0.8684139784946237,0.9439964157706091,0.8684139784946237,0.9439964157706091,0.9063620071684587,0.06429449962759243,0.903225806451613,0.8684139784946237,0.9439964157706091,0.8684139784946237,0.9439964157706091,0.5209677419354839,0.06630582190675635,0.5,0.5,0.5629032258064517,0.5,0.5629032258064517,0.16218893449537666,0.028890072933261308,0.15549922521222848,0.14781607035037864,0.1806123006196523,0.14781607035037864,0.1806123006196523,0.41507083060953914,0.02956396753032758,0.41588301806158484,0.39787069904765815,0.43229338075346946,0.39787069904765815,0.43229338075346946,0.5772597651049158,0.05183063367075294,0.5629210579190846,0.5482723339042995,0.6081756267213531,0.5482723339042995,0.6081756267213531,0.17961387569331277,0.012821316012200983,0.18125695101789727,0.17176764103847186,0.18651647320742776,0.17176764103847186,0.18651647320742776,0.549195105876926,0.02706612994334105,0.5532674892840697,0.5324495631171694,0.5635954097332498,0.5324495631171694,0.5635954097332498,0.36089533418461184,0.04569795161793375,0.37430298022452474,0.33318897757186705,0.38664187656822735,0.33318897757186705,0.38664187656822735,discrimination and classification preserved
xxz,critical_holdout,10,10,5,50,hierarchical bootstrap across 10 spatial partitions,0.57125,0.08817162068306078,0.53125,0.54125,0.60625,0.54875,0.596875,0.5842424242424242,0.0854997533896347,0.5454545454545454,0.5551515151515152,0.6181818181818182,0.5624242424242424,0.609090909090909,0.7151317574264702,0.045695800754222214,0.6938775510204082,0.6998022343483236,0.7334838121196884,0.7034243316011753,0.7285793594069775,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.57125,0.08817162068306078,0.53125,0.54125,0.60625,0.54875,0.596875,0.574375,0.08677037268866956,0.53125,0.54625,0.608125,0.551875,0.599375,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.040459831772594185,0.0034853044661210513,0.04027260278590772,0.039253444622635594,0.041721637275685015,0.039515586048109,0.04141312730262186,0.5173047563952601,0.010385646690085336,0.5165002392865414,0.5133233404422983,0.5212442619475895,0.5143644730648844,0.5200544885602926,0.5577645881678542,0.011476846581322062,0.5566715809810291,0.5538146203892248,0.5617163412516161,0.5545870067572559,0.5608861285573263,0.23075170031406722,0.0015576245566825367,0.2308142344759569,0.23013328594103888,0.23135099796353306,0.23032708095663415,0.2311726432704565,0.6543744425289567,0.003149347504512214,0.6545006728324942,0.6531442903667878,0.6555636157238742,0.6535159954343828,0.6552283929234745,0.07657280061906131,0.07168662552646797,0.038701085780193004,0.05352805481046281,0.10575425353194583,0.05828925815594071,0.09771183776941716,ranking preserved but classification degraded
xxz,iid,10,10,5,50,hierarchical bootstrap across 10 spatial partitions,0.9,0.05354682630672289,0.9090909090909092,0.8718181818181818,0.9281818181818182,0.8854545454545455,0.9145454545454544,0.9,0.05354682630672286,0.9090909090909091,0.8718181818181818,0.9281818181818182,0.8854545454545455,0.9145454545454544,0.9111863495602626,0.0440125081993244,0.9166666666666666,0.8881825102192491,0.9354099609810479,0.8992929369503283,0.9229063297411123,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.05354682630672289,0.9090909090909092,0.8718181818181818,0.9281818181818182,0.8854545454545455,0.9145454545454544,0.9545454545454546,0.047717332651620335,0.9545454545454546,0.9245454545454547,0.980909090909091,0.9418181818181818,0.9672727272727272,0.6754545454545453,0.06296357844949298,0.6818181818181819,0.6481818181818181,0.7127272727272727,0.6590909090909091,0.6927272727272726,0.17166813607958306,0.023552438862189225,0.1707804058502288,0.16021210385688026,0.18333603902211879,0.1650086987955919,0.17796650519693638,0.42824191755985247,0.01643198971887704,0.4277894347699252,0.4192741268224779,0.4369765203838312,0.4236885920815809,0.4327014227502359,0.5999100536394356,0.014707542309710848,0.6012738564966937,0.5941884919155774,0.6055915345067752,0.5958009743097779,0.6038870735180082,0.17552253074736437,0.009574234278856297,0.17596388198379448,0.17062532092835392,0.180469055374478,0.17296314317386324,0.17821062969664575,0.5405724910228376,0.019972753180553516,0.5414636883869993,0.5304703041706834,0.550709240954245,0.5352313092785451,0.5461954197459973,0.3146611094821859,0.04521448251432875,0.31699485435644814,0.2916935387108636,0.339215428541274,0.3025623989925146,0.3265583377331502,discrimination and classification preserved
xxz,parameter_block,1,1,10,10,optimizer-seed variability on one canonical spatial block,0.5127906976744186,0.0404477375137816,0.5,0.5,0.5383720930232558,0.5,0.5383720930232558,0.48271604938271606,0.04294451143438541,0.4691358024691358,0.46913580246913583,0.5098765432098766,0.46913580246913583,0.5098765432098766,0.04074074074074074,0.1288335343031562,0.0,0.0,0.1222222222222222,0.0,0.1222222222222222,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5127906976744186,0.0404477375137816,0.5,0.5,0.5383720930232558,0.5,0.5383720930232558,0.5593023255813954,0.043317313398289946,0.5697674418604651,0.5348837209302326,0.5848837209302326,0.5348837209302326,0.5848837209302326,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.08336400518487894,0.007844466677368158,0.08187607650451487,0.07883654351611112,0.08818904239065871,0.07883654351611112,0.08818904239065871,0.3615462024758537,0.01918742278768003,0.3695960288083357,0.3498198361676388,0.3719623929144596,0.3498198361676388,0.3719623929144596,0.44491020766073264,0.025252166845802053,0.45671650616223103,0.42968949160990005,0.4591342701959631,0.42968949160990005,0.4591342701959631,0.22585189960450275,0.008863949086464472,0.22291748482815363,0.22077054050297054,0.23127278665490567,0.22077054050297054,0.23127278665490567,0.6423682627679709,0.01719853193955899,0.6369644312401648,0.6325190716027468,0.6528621482893145,0.6325190716027468,0.6528621482893145,0.3639070292880642,0.07601782828963252,0.3914595465931582,0.3163160381025395,0.4043389866730318,0.3163160381025395,0.4043389866730318,ranking preserved but classification degraded
