family,delta,n_samples,accuracy,balanced_accuracy,f1,roc_auc,brier_score,ece,mean_fidelity,mean_spectral_gap
tfim,0.0,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.13914104521178186,0.30669236496609936,1.0000000000000004,0.530038588444472
tfim,0.02,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.13906669026651297,0.3066131481253388,0.9999505009440253,0.5305687892644007
tfim,0.05,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.1389984458557514,0.30655942420622706,0.9996910966739746,0.530434809045542
tfim,0.1,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.138998611606557,0.3066420599152265,0.998765592334026,0.5276264547800388
tfim,0.2,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.13941743963585082,0.3074453850997602,0.9950420595077769,0.512708154718611
