family,delta,n_samples,accuracy,balanced_accuracy,f1,roc_auc,brier_score,ece,mean_fidelity,mean_spectral_gap
tfim,0.0,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.13914104521178186,0.30669236496609936,1.0000000000000004,0.530038588444472
tfim,0.02,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.13906669026651297,0.3066131481253388,0.9999505009440253,0.5305687892644007
tfim,0.05,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.1389984458557514,0.30655942420622706,0.9996910966739746,0.530434809045542
tfim,0.1,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.138998611606557,0.3066420599152265,0.998765592334026,0.5276264547800388
tfim,0.2,20,0.95,0.9545454545454546,0.9473684210526315,1.0,0.13941743963585082,0.3074453850997602,0.9950420595077769,0.512708154718611
xxz,0.0,20,0.85,0.8636363636363636,0.8571428571428571,1.0,0.1679053713070033,0.3178580085319264,1.0000000000000002,1.0186010282139943
xxz,0.02,20,0.85,0.8636363636363636,0.8571428571428571,1.0,0.16866566995930435,0.3188094803867998,0.9999014171961932,1.0205440981257596
xxz,0.05,20,0.85,0.8636363636363636,0.8571428571428571,1.0,0.16987950226978848,0.3202862558995942,0.9993778568724011,1.0225831123387539
xxz,0.1,20,0.85,0.8636363636363636,0.8571428571428571,1.0,0.17209129830804298,0.32286488313051553,0.9974671815039364,1.0218344447421661
xxz,0.2,20,0.85,0.8636363636363636,0.8571428571428571,0.9898989898989898,0.17718038554758447,0.3283874706737344,0.989420975276204,1.0099977073397253
cluster,0.0,20,0.9,0.9090909090909092,0.9,1.0,0.1588385561752412,0.3916448366929507,1.0000000000000004,0.7614017721523955
cluster,0.02,20,0.85,0.8636363636363636,0.8571428571428571,1.0,0.16001104313654912,0.39292356679729346,0.9998470401180779,0.7753089612228425
cluster,0.05,20,0.85,0.8636363636363636,0.8571428571428571,1.0,0.16178685345796084,0.39485165345790707,0.9990593802248563,0.7958504376745866
cluster,0.1,20,0.8,0.8181818181818181,0.8181818181818182,1.0,0.1647783297702939,0.3980786927903669,0.9963420543375797,0.8292561758600442
cluster,0.2,20,0.8,0.8181818181818181,0.8181818181818182,1.0,0.17079752463721518,0.34430720235646484,0.9862251454290851,0.8927053323183053
