total_distance_km,gain,qber
0,0.022764030283740265,0.015004261108157954
25,0.007969832533603541,0.015012170895027094
50,0.0026709929337685252,0.015036316080781667
75,0.0008730169964490392,0.015111108942374026
100,0.0002813837245963059,0.015344724966908316
125,9.005405299158745e-05,0.016077130811192487
150,2.878238218235865e-05,0.018370116988073816
