sample_id,family,hamiltonian_parameter,label,split,seed,n_qubits,parameter,ground_energy,physical_diagnostic,split_type
0,xxz,1.3426714323571,1,train,23,8,1.3426714323571,-15.096251270193788,0.3619302985280923,iid
1,xxz,1.4593377970295598,1,test,23,8,1.4593377970295598,-15.663981898575708,0.3853189760179289,iid
2,xxz,-0.4888687929507331,0,validation,23,8,-0.4888687929507331,-8.027347068912784,0.084177327187804,iid
3,xxz,1.4033300516664349,1,train,23,8,1.4033300516664349,-15.389938560833558,0.374029319671796,iid
4,xxz,-0.2838709784342567,0,train,23,8,-0.2838709784342567,-8.607050530341782,0.1078932018822457,iid
5,xxz,0.1213746593470777,0,validation,23,8,0.1213746593470777,-9.940355595750177,0.1587770649813735,iid
6,xxz,0.4811796311559007,0,train,23,8,0.4811796311559007,-11.297969065441295,0.2101175365441096,iid
7,xxz,1.4886938688783375,1,train,23,8,1.4886938688783375,-15.808711745273513,0.3912774642366737,iid
8,xxz,-0.2507648269436991,0,train,23,8,-0.2507648269436991,-8.707153377871865,0.1118271100150102,iid
9,xxz,-0.4348427895610597,0,validation,23,8,-0.4348427895610597,-8.173069542844566,0.0903366417337889,iid
10,xxz,1.876158773980072,1,test,23,8,1.876158773980072,-17.78711531342204,0.4715390395300486,iid
11,xxz,1.3969375629889489,1,train,23,8,1.3969375629889489,-15.358835244723505,0.372747742685434,iid
12,xxz,0.0299201480262043,0,test,23,8,0.0299201480262043,-9.620009532577782,0.1467224077655029,iid
13,xxz,0.3879906836868811,0,train,23,8,0.3879906836868811,-10.93216646228682,0.1961795636368079,iid
14,xxz,1.817078277732243,1,train,23,8,1.817078277732243,-17.477475115380102,0.4592081105033758,iid
15,xxz,1.4679095720714894,1,train,23,8,1.4679095720714894,-15.706164732103009,0.3870560330993231,iid
16,xxz,1.564408973204824,1,train,23,8,1.564408973204824,-16.18542875645684,0.4067599673800416,iid
17,xxz,1.546409506112564,1,train,23,8,1.546409506112564,-16.095427905509716,0.4030656141551635,iid
18,xxz,1.5992841384901593,1,train,23,8,1.5992841384901593,-16.36059597150153,0.4139396825235309,iid
19,xxz,1.480311475732316,1,test,23,8,1.480311475732316,-15.767309062081816,0.3895733478192725,iid
20,xxz,-0.6810958695057325,0,train,23,8,-0.6810958695057325,-7.555674404817001,0.0624622073041124,iid
21,xxz,1.5847687887555726,1,train,23,8,1.5847687887555726,-16.287564431514983,0.4109481075083249,iid
22,xxz,1.4516271807867267,1,train,23,8,1.4516271807867267,-15.626091549318172,0.383758448976062,iid
23,xxz,0.2190757959674194,0,train,23,8,0.2190757959674194,-10.294063404581523,0.1720767796700165,iid
24,xxz,0.6420525697532937,0,train,23,8,0.6420525697532937,-11.951425268893097,0.2353120192297992,iid
25,xxz,-0.3457146729334314,0,test,23,8,-0.3457146729334314,-8.424700210010553,0.1006305577517522,iid
26,xxz,0.235347694352339,0,test,23,8,0.235347694352339,-10.35408993351183,0.1743361223886909,iid
27,xxz,1.6420622399715847,1,train,23,8,1.6420622399715847,-16.576861213387456,0.4227809398059254,iid
28,xxz,-0.0634649882636109,0,train,23,8,-0.0634649882636109,-9.304123345617253,0.134780215736396,iid
29,xxz,-0.383221298499639,0,train,23,8,-0.383221298499639,-8.317158767443866,0.0962759099522735,iid
30,xxz,-0.7409826808373254,0,validation,23,8,-0.7409826808373254,-7.425770152377304,0.0556170384047435,iid
31,xxz,1.4141697858174094,1,train,23,8,1.4141697858174094,-15.442762519788207,0.3762058531111225,iid
32,xxz,1.4866292808335575,1,train,23,8,1.4866292808335575,-15.798508596414148,0.3908575422792966,iid
33,xxz,1.9148039638632304,1,validation,23,8,1.9148039638632304,-17.991154397944513,0.4795980090275676,iid
34,xxz,-0.5872536247328755,0,train,23,8,-0.5872536247328755,-7.77625695840654,0.07305833647004,iid
35,xxz,1.7380579151001707,1,train,23,8,1.7380579151001707,-17.06772953166556,0.4427261488575139,iid
36,xxz,-0.1685792855879617,0,train,23,8,-0.1685792855879617,-8.962847233667125,0.1217457174569733,iid
37,xxz,1.606798098797381,1,train,23,8,1.606798098797381,-16.398471233798684,0.415490048021909,iid
38,xxz,0.4536074448966123,0,train,23,8,0.4536074448966123,-11.188745772137654,0.2059445313719279,iid
39,xxz,-0.2266599464611152,0,train,23,8,-0.2266599464611152,-8.781099376188596,0.1147130335672349,iid
40,xxz,1.8199186276931625,1,train,23,8,1.8199186276931625,-17.49229739288448,0.4598009802726976,iid
41,xxz,0.2187982007287496,0,train,23,8,0.2187982007287496,-10.293042093964088,0.1720383477494058,iid
42,xxz,-0.0710857743518104,0,validation,23,8,-0.0710857743518104,-9.278862516022492,0.1338211630875719,iid
43,xxz,0.4983438923340066,0,train,23,8,0.4983438923340066,-11.366378742161752,0.2127364548861317,iid
44,xxz,1.3876809690237768,1,train,23,8,1.3876809690237768,-15.313860109976686,0.370894618099809,iid
45,xxz,0.4707014245377228,0,train,23,8,0.4707014245377228,-11.25636384046306,0.2085267629347451,iid
46,xxz,1.8525467031614025,1,train,23,8,1.8525467031614025,-17.66303029597747,0.4666115566299758,iid
