attack,strength,qber_x,secure_bits,abort,phase_error_upper
normal,0.0,0.015003016815936963,85666624,False,0.03618121075978217
intercept_resend,0.25,0.07562763707705238,0,True,0.14776767526395118
intercept_resend,0.5,0.13625226117364775,0,True,0.2535564996213917
dark_counts,10.0,0.015030133428513545,85468038,False,0.03638438385855634
misalignment,0.03,0.0450028292993219,5435829,False,0.09280482925698008
extra_loss_db,3.0,0.015005959599614177,37084963,False,0.05016222361015071
intensity_scale,1.1,0.015002744158173485,95584408,False,0.03490129690294555
