epoch,train_loss,validation_loss
0,0.6925709843635559,0.6713022589683533
1,0.6749901175498962,0.6541925072669983
2,0.6550951600074768,0.6360001564025879
3,0.6346115469932556,0.6153227686882019
4,0.6121395826339722,0.5891187191009521
5,0.5844231843948364,0.556577742099762
6,0.550864040851593,0.5189666152000427
7,0.5125508904457092,0.4770699739456177
8,0.47002267837524414,0.43136531114578247
9,0.42358699440956116,0.3821687698364258
10,0.3734589219093323,0.3314034342765808
11,0.3218359649181366,0.27983859181404114
12,0.26965653896331787,0.22880597412586212
13,0.2187260538339615,0.1807219535112381
14,0.17133691906929016,0.1378697156906128
15,0.1296377032995224,0.10206759721040726
16,0.09525036066770554,0.07376797497272491
17,0.06821899861097336,0.0522274486720562
18,0.047692883759737015,0.03648559749126434
19,0.03283992037177086,0.025272304192185402
20,0.022445688024163246,0.01741008833050728
21,0.01531172078102827,0.011963588185608387
22,0.01046423427760601,0.008225676603615284
23,0.0071871294640004635,0.005687417462468147
24,0.004981636069715023,0.003973441664129496
25,0.0034969777334481478,0.0028153604362159967
26,0.0024927121121436357,0.0020287232473492622
27,0.0018069010693579912,0.0014901823597028852
28,0.0013332614907994866,0.0011159341083839536
29,0.0010016316082328558,0.0008512837230227888
30,0.0007660373230464756,0.0006611653370782733
31,0.0005960723501630127,0.0005224061897024512
32,0.00047159031964838505,0.00041988425073213875
33,0.00037912940024398267,0.0003427022893447429
34,0.00030942936427891254,0.00028379380819387734
35,0.00025620340602472425,0.00023836294712964445
36,0.0002150864020222798,0.000202828086912632
37,0.00018286857812199742,0.00017472404579166323
38,0.00015737999638076872,0.0001521985832368955
39,0.00013702193973585963,0.00013407329970505089
40,0.00012044869072269648,0.00011919637472601607
41,0.00010698796540964395,0.00010691878560464829
42,9.601726196706295e-05,9.671667794464156e-05
43,8.67215494508855e-05,8.829249418340623e-05
44,7.906557584647089e-05,8.104703738354146e-05
45,7.272746734088287e-05,7.502340304199606e-05
46,6.723198021063581e-05,6.98572039254941e-05
47,6.253753963392228e-05,6.529135134769604e-05
48,5.848726868862286e-05,6.142992060631514e-05
49,5.511061681318097e-05,5.8043933677254245e-05
50,5.2167502872180194e-05,5.5174165026983246e-05
51,4.954733230988495e-05,5.2697068895213306e-05
52,4.730946966446936e-05,5.049403625889681e-05
53,4.533183164312504e-05,4.853900827583857e-05
54,4.36327354691457e-05,4.681043719756417e-05
55,4.2107429180759937e-05,4.5202821638667956e-05
56,4.07388542953413e-05,4.3873915274161845e-05
57,3.958132219850086e-05,4.2637286242097616e-05
58,3.846124673145823e-05,4.156858994974755e-05
59,3.753066266654059e-05,4.0657825593370944e-05
60,3.667825512820855e-05,3.97234434785787e-05
61,3.591386484913528e-05,3.901788659277372e-05
62,3.524803469190374e-05,3.818818731815554e-05
63,3.462408494669944e-05,3.7575853639282286e-05
64,3.409682904020883e-05,3.7089102988829836e-05
65,3.358547110110521e-05,3.646389450295828e-05
66,3.3112191886175424e-05,3.60440208169166e-05
67,3.272491449024528e-05,3.565189763321541e-05
68,3.235266558476724e-05,3.528473462210968e-05
69,3.200154606020078e-05,3.485328852548264e-05
70,3.1720326660433784e-05,3.4528722608229145e-05
71,3.1370909709949046e-05,3.422230656724423e-05
72,3.111340993200429e-05,3.393238512217067e-05
73,3.0835803045192733e-05,3.357072637300007e-05
74,3.0596180295106024e-05,3.3395943319192156e-05
75,3.0367755243787542e-05,3.3060015994124115e-05
76,3.018355528183747e-05,3.290859967819415e-05
77,3.001703771587927e-05,3.2680542062735185e-05
78,2.984182719956152e-05,3.254838884458877e-05
79,2.9691273084608838e-05,3.233796087442897e-05
80,2.9556282242992893e-05,3.222194573027082e-05
81,2.943611798400525e-05,3.211305011063814e-05
82,2.9296421416802332e-05,3.192407530150376e-05
83,2.9179122066125274e-05,3.182781074428931e-05
84,2.9083710614941083e-05,3.173705408698879e-05
85,2.8958627808606252e-05,3.16512850986328e-05
86,2.8871645554318093e-05,3.14833851007279e-05
87,2.8779775675502606e-05,3.140631451969966e-05
88,2.8682721676887013e-05,3.124634167761542e-05
89,2.85972510027932e-05,3.117659070994705e-05
90,2.8523119908641092e-05,3.1023424526210874e-05
91,2.844308255589567e-05,3.095994543400593e-05
92,2.835689519997686e-05,3.0899183911969885e-05
93,2.826435593306087e-05,3.084089621552266e-05
94,2.8199379812576808e-05,3.069821832468733e-05
95,2.8127691621193662e-05,3.0644336220575497e-05
96,2.8066204322385602e-05,3.0592425900977105e-05
97,2.7980722734355368e-05,3.054232365684584e-05
98,2.7913687517866492e-05,3.0493871236103587e-05
99,2.7822403353638947e-05,3.0360282835317776e-05
100,2.7757878342526965e-05,3.0315195544972084e-05
