baseline,hypothesis_tier,mean_adaptive_utility,mean_baseline_utility,mean_paired_difference,std_paired_difference,cohens_d,ci_95_lower,ci_95_upper,p_value_raw,p_value_display,p_value_adjusted,p_value_adjusted_display,baseline_gate_misses,adaptive_gate_misses,baseline_violations,adaptive_violations
fixed_bb84_conservative,secondary,-585792.9876458544,-580167.2689698146,-5625.71867603961,244050.16946517365,-0.023051484407358335,-102927.79350782411,83806.35375780093,0.9388061193880612,0.9388,1.0,1.0000,0,0,0,0
fixed_bb84_aggressive,secondary,-585792.9876458544,-894609.058056376,308816.0704105215,601125.146358253,0.5137300814670565,98813.2104132825,569646.567128626,0.019498050194980503,0.0195,0.05849415058494151,0.0585,0,0,0,0
fixed_mdi,secondary,-585792.9876458544,-1241991.5785987594,656198.590952905,710773.7219570397,0.9232172922011412,389867.08109339257,947015.510499597,0.0005999400059994001,0.0006,0.0029997000299970002,0.0030,0,0,0,0
training_optimal_fixed,primary,-585792.9876458544,-517467.84337502095,-68325.14427083333,215390.62926630586,-0.31721502696552834,-164062.56640625,-0.20833333333333334,0.0044995500449955,0.0045,0.0044995500449955,0.0045,0,0,0,0
heuristic_policy,secondary,-585792.9876458544,-638053.4283104284,52260.440664574046,362402.5912588823,0.1442054828665444,-74235.77528969069,201812.14617146712,0.5143485651434857,0.5143,1.0,1.0000,0,0,0,0
abort_baseline,secondary,-585792.9876458544,-1241991.5785987594,656198.590952905,710773.7219570397,0.9232172922011412,389867.08109339257,947015.510499597,0.0005999400059994001,0.0006,0.0029997000299970002,0.0030,0,0,0,0
