evaluation,train_loss
0,0.8003352661267421
1,0.7752971580062847
2,0.7762615964526592
3,0.5879721874896552
4,0.5649871680897527
5,0.5649871680897526
6,0.5607134213894893
7,0.5558355963382972
8,0.5617171749485531
9,0.5615644632345957
10,0.6155671261155454
11,0.6165812774002545
12,0.5558355963382972
13,0.5548915890496894
14,0.555009953274607
15,0.5572486068173484
16,0.5529198736424147
17,0.5747404010941181
18,0.5694198570007958
19,0.5529198736424147
20,0.5809626432875016
21,0.5900986998973489
22,0.6752954796726748
23,0.5535599530867706
24,0.5226400922655552
25,0.6454255050598211
26,0.5397605017924905
27,0.5513595243369576
28,0.5226400922655552
29,0.5125563870623716
30,0.5507534219995598
31,0.5196540937695246
32,0.512792341065198
33,0.516009927033355
34,0.5225397155384157
35,0.5086342096074677
36,0.5169236233862496
37,0.5114525343488213
38,0.6456568915486235
39,0.5068975958238364
40,0.5033677125086743
41,0.5498210742733942
42,0.5016652879757536
43,0.548676795486943
44,0.5023143150850297
45,0.516609365755114
46,0.5155694845642272
47,0.5271239986362463
48,0.5145213701987259
49,0.5935049999274525
50,0.5025839356228603
51,0.5073021178638265
52,0.5019879971372642
53,0.536893682052642
54,0.5019350517021247
55,0.5250792434444245
56,0.5093724022967279
57,0.5040998439269454
58,0.5051408754008536
59,0.5008763835172827
60,0.49692177023494216
61,0.4979219559239767
62,0.4964532769743219
63,0.4965433696244796
64,0.4965485386780461
65,0.49734521671371096
66,0.49653043988927553
67,0.4937537093822589
68,0.49358853569488287
69,0.490403097369046
70,0.4893775846174065
71,0.48814286045015437
72,0.48653529224890163
73,0.4862166114694438
74,0.4854451157555135
75,0.48369919220076224
76,0.484518120198662
77,0.48358816666764454
78,0.47961796840617704
79,0.4771492944718343
80,0.48026016689484335
81,0.4782096351119032
82,0.47338853506619377
83,0.47275914221688803
84,0.47276870316773695
85,0.4726491077170591
86,0.4724746594138855
87,0.47155110997617516
88,0.473729786216531
89,0.47181749018664193
90,0.46711211359635385
91,0.46582688788934484
92,0.4648838245591272
93,0.4633809621665135
94,0.45981153091215426
95,0.45664119838613076
96,0.4555141898623798
97,0.4544473903279393
98,0.45287628355514187
99,0.45094437368027007
100,0.4492947723543849
101,0.44793635463426135
102,0.44540594137968115
103,0.44527925017335274
104,0.4448274682496123
105,0.4440709048965292
106,0.4442717075312075
107,0.44451795215222906
108,0.44220152004327673
109,0.44185539537793117
110,0.44341298596657847
111,0.44221076610296867
112,0.4406221091233826
113,0.4402787231783046
114,0.44104766849494786
115,0.44099594720270757
116,0.4379284662117991
117,0.43610504243958265
118,0.435905644453569
119,0.4343900718121822
120,0.4334156444990707
121,0.43112290953373006
122,0.42925023034785736
123,0.426891600705118
124,0.42634501708963457
125,0.4249081004620812
126,0.4243227515422179
127,0.4254230360590537
128,0.42490080847499617
129,0.4224371334835417
130,0.4216978509663012
131,0.4208734766652551
132,0.41972487220232385
133,0.41977264631088707
134,0.4194034267857613
135,0.4194953199500629
136,0.41928911273399505
137,0.4183152286123241
138,0.41793524672311216
139,0.4172413629092661
140,0.41655190322590885
141,0.4165630090965058
142,0.4167051900222174
143,0.41682955237366465
144,0.4167876651085954
145,0.4166612021929133
146,0.416500286426752
147,0.4161464275978251
148,0.41570394272397165
149,0.41518644152004924
150,0.41439862295319746
151,0.41504339432415965
152,0.4143123936760594
153,0.4136344203777497
154,0.41309121694241746
155,0.41370317600725176
156,0.41437637448154147
157,0.4116694416882865
158,0.41080647778577273
159,0.4110610587863055
160,0.4108022856483193
161,0.4125403736535205
162,0.41089057736515633
163,0.4103819502979958
164,0.41021682854013153
165,0.41088207855541886
166,0.4101611141964831
167,0.4097711903480595
168,0.40987341822526996
169,0.4098824880630499
170,0.4100524815379087
171,0.41037464621023795
172,0.4100104629893931
173,0.410399134718254
174,0.40876862744598563
175,0.4104173508798104
176,0.40972342916231025
177,0.40791953586190655
178,0.4078354421322044
179,0.4066771915005935
180,0.40663021505634367
181,0.40509863991719114
182,0.4048335797329494
183,0.4046079696884099
184,0.4037494185778818
185,0.40354259825643557
186,0.4028872466240914
187,0.406197292643191
188,0.4030722926338893
189,0.40311041090989747
190,0.40297011191365834
191,0.4041189691839436
192,0.4029087669241034
193,0.4029434258537208
194,0.40273354843959847
195,0.40283618077288236
196,0.4027916590009584
197,0.4025325221770812
198,0.4019955528985393
199,0.403104388680267
200,0.40197349780308783
201,0.4026598082585862
202,0.40228310570746
203,0.4026260756788494
204,0.40187613213551526
205,0.40204863905059524
206,0.4017893089189788
207,0.40193426559197
208,0.4018880653028674
209,0.40188065736947903
210,0.4018144459694857
211,0.4033180655496101
212,0.40240036637737026
213,0.4022096748107578
214,0.40175474689519114
215,0.40157752305096334
216,0.40123154071284794
217,0.4021785330704071
218,0.4013958780710584
219,0.4009040991358949
220,0.40094318274743496
221,0.4013137097694874
222,0.40177965576791874
223,0.4009381521874393
224,0.40102857473839704
225,0.4005815074547658
226,0.4009786261118358
227,0.4004683209383457
228,0.4001367283148401
229,0.4004543005972492
230,0.40011902231617286
231,0.4006035810154854
232,0.4002854438418984
233,0.40164877901493085
234,0.4001686154726129
235,0.40006903697782076
236,0.39939391510954353
237,0.39920845273789735
238,0.39887066355602724
239,0.399046679074017
240,0.3989887708994897
241,0.39965496121469074
242,0.3989569613129311
243,0.3990036277329165
244,0.3990859934555857
245,0.3993878031797089
246,0.39892936831862574
247,0.3996672618136219
248,0.39892458880999254
249,0.3991519433852053
250,0.39868712667421136
251,0.39856347023554695
252,0.39809664443628945
253,0.398755617618534
254,0.39845329446445404
255,0.3979335973046174
256,0.3972331277310965
257,0.3971839696371422
258,0.3989102257517632
259,0.3969010298882933
260,0.39725391278330785
261,0.39704801733901557
262,0.3970535305269125
263,0.39695873592833997
264,0.3970005070599387
265,0.3971062699988961
266,0.39724459324698325
267,0.39695261158407585
268,0.3975627129427661
269,0.397194365517797
270,0.3971188142069361
271,0.3974859667856909
272,0.39703432978678155
273,0.3969936620275583
274,0.3978123176802886
275,0.3971318443683853
276,0.3972141213004375
277,0.39696883580485104
278,0.3974014035657369
279,0.3967910760179938
280,0.3978245866274393
281,0.3967386463081864
282,0.39825536369052633
283,0.3968631248397356
284,0.39676163933480374
285,0.39689916326918634
286,0.39677056327163074
287,0.39670354003897296
288,0.3966732047905559
289,0.39669506074553196
290,0.39668878176865513
291,0.3966736201829833
292,0.3966909726242544
293,0.3966650159863095
294,0.3966755107900443
295,0.3966682727179412
296,0.3966569214142903
297,0.39660637585603814
298,0.3965688927802257
299,0.3965634531376665
