model,samples_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,training_seconds_mean
qcnn,4,0.4358974358974359,0.04441155916843275,0.4325396825396825,2.99055463333328
qcnn,8,0.4102564102564103,0.08882311833686551,0.3968253968253968,3.9367302666657147
qcnn,16,0.717948717948718,0.044411559168432785,0.7103174603174603,7.588279966667566
qcnn,24,0.4102564102564103,0.04441155916843278,0.40079365079365076,11.16009573333334
svm_rbf,4,0.9487179487179488,0.0888231183368655,0.9444444444444443,0.002714899999773479
svm_rbf,8,1.0,0.0,1.0,0.0014245333331928123
svm_rbf,16,1.0,0.0,1.0,0.001407666666636942
svm_rbf,24,1.0,0.0,1.0,0.0016717999994095105
