distance,decoder,rho_bin,logical_failure_rate,p50_us,p95_us,p99_us,samples,rho_mid
3.0,union_find,"(0.45, 0.475]",0.25,334.3,385.39,386.998,4,0.4625
3.0,union_find,"(0.475, 0.5]",1.0,688.3,975.04,1000.528,2,0.4875
5.0,bp_osd,"(-0.001, 0.025]",0.0005111167901865576,263.6,594.04,1132.732000000001,3913,0.012
5.0,bp_osd,"(0.025, 0.05]",0.002501705708437571,426.0,1601.08,1903.1399999999994,4397,0.037500000000000006
5.0,bp_osd,"(0.05, 0.075]",0.017778922958000515,632.6,1752.1,2477.7399999999984,3881,0.0625
5.0,bp_osd,"(0.075, 0.1]",0.038050314465408804,982.45,1967.4799999999996,2847.922,3180,0.0875
5.0,bp_osd,"(0.1, 0.125]",0.08442164179104478,1128.1,2120.6349999999993,3084.1690000000003,2144,0.1125
5.0,bp_osd,"(0.125, 0.15]",0.1514907332796132,1273.3,2418.7,3314.119999999999,1241,0.1375
5.0,bp_osd,"(0.15, 0.175]",0.18214936247723132,1403.7,2590.52,3372.879999999999,549,0.16249999999999998
5.0,bp_osd,"(0.175, 0.2]",0.3125,1513.35,2802.77,3610.838,224,0.1875
5.0,bp_osd,"(0.2, 0.225]",0.43636363636363634,1538.7,2765.17,4529.440000000002,55,0.21250000000000002
5.0,bp_osd,"(0.225, 0.25]",0.45454545454545453,1522.1,3203.45,3917.0100000000007,11,0.2375
5.0,bp_osd,"(0.25, 0.275]",0.6,1788.7,2320.14,2420.908,5,0.2625
5.0,mwpm,"(-0.001, 0.025]",0.0007666751852798365,20.1,36.9,57.3,3913,0.012
5.0,mwpm,"(0.025, 0.05]",0.002501705708437571,23.5,42.83999999999996,58.927999999999976,4397,0.037500000000000006
5.0,mwpm,"(0.05, 0.075]",0.01030662200463798,33.0,48.9,69.13999999999996,3881,0.0625
5.0,mwpm,"(0.075, 0.1]",0.0220125786163522,36.1,54.9,82.48400000000002,3180,0.0875
5.0,mwpm,"(0.1, 0.125]",0.049440298507462684,39.5,59.7,78.85700000000001,2144,0.1125
5.0,mwpm,"(0.125, 0.15]",0.0862207896857373,43.6,65.9,94.85999999999972,1241,0.1375
5.0,mwpm,"(0.15, 0.175]",0.10200364298724955,46.7,74.88000000000001,94.952,549,0.16249999999999998
5.0,mwpm,"(0.175, 0.2]",0.21875,52.3,80.44,96.90600000000008,224,0.1875
5.0,mwpm,"(0.2, 0.225]",0.16363636363636364,56.5,82.11999999999999,87.696,55,0.21250000000000002
5.0,mwpm,"(0.225, 0.25]",0.18181818181818182,61.4,131.85,164.69000000000003,11,0.2375
5.0,mwpm,"(0.25, 0.275]",0.0,76.3,90.47999999999999,92.576,5,0.2625
5.0,mwpm_correlated,"(-0.001, 0.025]",0.0007666751852798365,26.4,51.5,70.81600000000009,3913,0.012
5.0,mwpm_correlated,"(0.025, 0.05]",0.001364566750056857,36.0,58.01999999999998,78.73199999999997,4397,0.037500000000000006
5.0,mwpm_correlated,"(0.05, 0.075]",0.007987632053594434,43.0,67.9,93.6199999999998,3881,0.0625
5.0,mwpm_correlated,"(0.075, 0.1]",0.01729559748427673,48.9,75.30499999999996,100.74700000000001,3180,0.0875
5.0,mwpm_correlated,"(0.1, 0.125]",0.03684701492537314,56.55,89.58499999999998,151.74900000000093,2144,0.1125
5.0,mwpm_correlated,"(0.125, 0.15]",0.0684931506849315,64.6,101.1,135.5199999999999,1241,0.1375
5.0,mwpm_correlated,"(0.15, 0.175]",0.09107468123861566,72.9,115.52000000000001,211.87199999999976,549,0.16249999999999998
5.0,mwpm_correlated,"(0.175, 0.2]",0.17857142857142858,84.35,124.91999999999999,204.33400000000006,224,0.1875
5.0,mwpm_correlated,"(0.2, 0.225]",0.18181818181818182,95.5,138.88,145.452,55,0.21250000000000002
5.0,mwpm_correlated,"(0.225, 0.25]",0.0,101.7,148.95,157.23000000000002,11,0.2375
5.0,mwpm_correlated,"(0.25, 0.275]",0.0,145.8,162.72,165.904,5,0.2625
5.0,union_find,"(-0.001, 0.025]",0.0020444671607462305,257.6,488.43999999999994,675.0200000000002,3913,0.012
5.0,union_find,"(0.025, 0.05]",0.03002046850125085,431.4,889.3399999999998,1335.9479999999999,4397,0.037500000000000006
5.0,union_find,"(0.05, 0.075]",0.09172893584127802,668.6,1483.8,2363.559999999997,3881,0.0625
5.0,union_find,"(0.075, 0.1]",0.1889937106918239,960.6500000000001,2121.47,2927.6250000000014,3180,0.0875
5.0,union_find,"(0.1, 0.125]",0.26259328358208955,1326.4,2696.2449999999994,3921.150000000004,2144,0.1125
5.0,union_find,"(0.125, 0.15]",0.33279613215149073,1744.3,3486.6,5291.639999999977,1241,0.1375
5.0,union_find,"(0.15, 0.175]",0.3697632058287796,2192.4,4334.36,5613.091999999997,549,0.16249999999999998
5.0,union_find,"(0.175, 0.2]",0.42857142857142855,2549.65,4869.67,7012.267000000002,224,0.1875
5.0,union_find,"(0.2, 0.225]",0.509090909090909,3181.5,4847.509999999999,5759.148000000001,55,0.21250000000000002
5.0,union_find,"(0.225, 0.25]",0.5454545454545454,3477.1,5088.450000000001,5383.13,11,0.2375
5.0,union_find,"(0.25, 0.275]",0.0,3493.5,5640.659999999999,6042.451999999999,5,0.2625
7.0,bp_osd,"(-0.001, 0.025]",0.0,1346.4,5430.38,7377.134000000001,1959,0.012
7.0,bp_osd,"(0.025, 0.05]",0.0007577671129072998,2562.8,6732.239999999997,9346.382000000001,3959,0.037500000000000006
7.0,bp_osd,"(0.05, 0.075]",0.009409190371991246,4445.4,7761.625,10323.93500000002,4570,0.0625
7.0,bp_osd,"(0.075, 0.1]",0.03854932792290135,5020.7,8267.3,11765.507999999994,3943,0.0875
