decoder,logical_failure_rate,mean_us,p95_us,p99_us,strategy,deadline_violation_rate
bp_osd,0.03543103448275862,4817.801945402299,15673.454999999994,21092.44600000001,fixed_bp_osd,
mwpm,0.01839080459770115,45.64941666666667,123.1,201.5010000000002,fixed_mwpm,
mwpm_correlated,0.014022988505747127,80.83162356321839,254.0,435.7020000000004,fixed_mwpm_correlated,
union_find,0.14623563218390806,10201.243646551724,43575.57999999986,80418.05300000057,fixed_union_find,
mixed,0.018275862068965518,47.39464367816092,123.8,205.2,adaptive,0.06321839080459771
mixed,0.004166666666666667,124.76226436781609,118.30499999999957,224.4020000000004,oracle_hindsight,0.055344827586206895
