budget_us,method,shots,feasible_shots,coverage,no_feasible_rate,logical_failure_rate,mean_latency_us,p99_latency_us,deadline_violation_rate
20.0,learned,34800,5800,0.16666666666666666,0.8333333333333334,0.011724137931034483,8.097189655172413,22.0,0.01293103448275862
20.0,lookup,34800,0,0.0,1.0,,,,
50.0,learned,34800,8626,0.2478735632183908,0.7521264367816092,0.017157431022490146,8.22013679573383,21.25,0.001275214467887781
50.0,lookup,34800,8700,0.25,0.75,0.01804597701149425,8.045839080459771,20.801000000000023,0.0014942528735632185
100.0,learned,34800,20809,0.5979597701149425,0.4020402298850575,0.01388822144264501,26.447599596328512,123.2,0.017684655677831708
100.0,lookup,34800,34800,1.0,0.0,0.01853448275862069,46.8979540229885,203.51200000000244,0.08910919540229885
200.0,learned,34800,29678,0.852816091954023,0.14718390804597703,0.015129051822899118,44.01817844868253,205.71499999999978,0.010917177707392681
200.0,lookup,34800,34800,1.0,0.0,0.0175,49.93029310344827,215.5030000000006,0.012701149425287356
500.0,learned,34800,34800,1.0,0.0,0.016091954022988506,65.09414080459769,292.9,0.001264367816091954
500.0,lookup,34800,34800,1.0,0.0,0.015431034482758621,70.9077011494253,325.8,0.0022126436781609196
1000.0,learned,34800,34800,1.0,0.0,0.014827586206896552,72.56999425287356,389.910000000002,0.0006609195402298851
1000.0,lookup,34800,34800,1.0,0.0,0.013994252873563219,80.21008333333333,430.8,0.0007471264367816092
5000.0,learned,34800,34800,1.0,0.0,0.01485632183908046,91.9008304597701,565.3,5.747126436781609e-05
5000.0,lookup,34800,34800,1.0,0.0,0.013908045977011495,86.90970114942527,461.9060000000012,2.8735632183908045e-05
20000.0,learned,34800,34800,1.0,0.0,0.01485632183908046,350.2086379310345,9646.328000000209,0.0003735632183908046
20000.0,lookup,34800,34800,1.0,0.0,0.013936781609195403,87.41500862068965,464.4110000000022,0.0
100000.0,learned,34800,34800,1.0,0.0,0.01485632183908046,350.2086379310345,9646.328000000209,0.0
100000.0,lookup,34800,34800,1.0,0.0,0.013936781609195403,87.41500862068965,464.4110000000022,0.0
20.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.8870977011494253
20.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.6643390804597701
20.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.6750862068965517
20.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.8840229885057471
50.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.7619540229885058
50.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.3239655172413793
50.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.5113505747126437
50.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.8250574712643678
100.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.7469252873563218
100.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.0885919540229885
100.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.2760632183908046
100.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.7585344827586207
200.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.7385632183908046
200.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.010229885057471265
200.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.09123563218390805
200.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.7189655172413794
500.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.6487931034482759
500.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.001264367816091954
500.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.00646551724137931
500.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.6391379310344828
1000.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.596580459770115
1000.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.0008333333333333334
1000.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.0007471264367816092
1000.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.5638505747126437
5000.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.3675
5000.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,5.747126436781609e-05
5000.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,2.8735632183908045e-05
5000.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.32695402298850573
20000.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,0.013419540229885058
20000.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.0
20000.0,fixed_mwpm_correlated,34800,34800,1.0,0.0,0.014022988505747127,80.83162356321839,435.7020000000004,0.0
20000.0,fixed_union_find,34800,34800,1.0,0.0,0.14623563218390806,10201.243646551724,80418.05300000057,0.12522988505747126
100000.0,fixed_bp_osd,34800,34800,1.0,0.0,0.03543103448275862,4817.8019454023,21092.44600000001,5.747126436781609e-05
100000.0,fixed_mwpm,34800,34800,1.0,0.0,0.01839080459770115,45.64941666666666,201.5010000000002,0.0
