method,budget_us,shots,feasible_shots,no_feasible_rate,logical_failure_rate,mean_latency_us,p95_latency_us,p99_latency_us,deadline_violation_rate
learned,20.0,34800,5800,0.8333333333333334,0.011724137931034483,8.097189655172413,12.3,22.0,0.01293103448275862
lookup,20.0,34800,0,1.0,,,,,
fixed_bp_osd,20.0,34800,34800,0.0,0.03543103448275862,4817.8019454023,15673.454999999994,21092.44600000001,0.8870977011494253
fixed_mwpm,20.0,34800,34800,0.0,0.01839080459770115,45.64941666666666,123.1,201.5010000000002,0.6643390804597701
fixed_mwpm_correlated,20.0,34800,34800,0.0,0.014022988505747127,80.83162356321839,254.0,435.7020000000004,0.6750862068965517
fixed_union_find,20.0,34800,34800,0.0,0.14623563218390806,10201.243646551724,43575.57999999986,80418.05300000057,0.8840229885057471
