event,success,path,trusted,hops,eps_total,key_id
initial_request,True,A-C-D,C,2,2e-10,a74089b9-07ee-4f97-bdee-056b140ce83e
AC_down_reroute,True,A-B-D,B,2,2e-10,d38d4b35-07ec-4714-826e-f43e8d819e96
