family,architecture,training_seconds,thermodynamic_reference_critical,transition_detected,probability_span,probability_min,probability_max,qcnn_steepest_change,physical_diagnostic_steepest_change,finite_size_warning,accuracy,balanced_accuracy,f1,roc_auc,log_loss,raw_p05_crossing,raw_crossing_bracketed,validated_p05_crossing,minimum_probability_span_threshold
tfim,expressive_shared_line,46.04063789999782,1.0,True,0.23747484281226844,0.34414508071183464,0.5816199235241031,0.64,0.7,N=8 finite systems need not transition exactly at the thermodynamic critical value.,1.0,1.0,1.0,1.0,0.4525862981950754,0.8474559085053861,True,0.8474559085053861,0.2
xxz,expressive_shared_line,34.77399249999871,1.0,False,0.09497377060019874,0.5104637101570739,0.6054374807572727,0.685,1.45,N=8 finite systems need not transition exactly at the thermodynamic critical value.,0.9230769230769231,0.9166666666666667,0.9333333333333333,1.0,0.5650896918967498,,False,,0.2
cluster,expressive_shared_line,57.64879849999852,1.0,True,0.2622350330974136,0.48033523452647764,0.7425702676238912,0.5800000000000001,0.61,N=8 finite systems need not transition exactly at the thermodynamic critical value.,0.9230769230769231,0.9166666666666667,0.9333333333333333,1.0,0.419031471187473,0.5890238217567585,True,0.5890238217567585,0.2
