evaluation,train_loss,validation_loss,success,message
0,0.6862258574975313,,,
1,0.6190150978563541,,,
2,0.6254149812853663,,,
3,0.7558235979435758,,,
4,0.7615347471057644,,,
5,0.6198487861645715,,,
6,0.6152412662588773,,,
7,0.6152412662588771,,,
8,0.6275749066700964,,,
9,0.6371685110121436,,,
10,0.6355653042853441,,,
11,0.6173379974736507,,,
12,0.6644045499805907,,,
13,0.658386625782167,,,
14,0.6299664300137845,,,
15,0.6148228442276729,,,
16,0.6148228442276729,,,
17,0.6070882587236225,,,
18,0.6055085993890639,,,
19,0.6072795452595315,,,
20,0.6077886378936764,,,
21,0.6169480647900752,,,
22,0.6139701569523338,,,
23,0.5676915699746338,,,
24,0.5676915699746338,,,
25,0.5676915699746338,,,
26,0.605508599389064,,,
27,0.6103098619922195,,,
28,0.6778517388341511,,,
29,0.5894485361890264,,,
30,0.6354992726523996,,,
31,0.5661807835414681,,,
32,0.6047478984268712,,,
33,0.5660726420560407,,,
34,0.7268934076267505,,,
35,0.5706071309452645,,,
36,0.5763242862734713,,,
37,0.5671226909947569,,,
38,0.5976270579659284,,,
39,0.5635852730400933,,,
40,0.5939116040858791,,,
41,0.5616588580194367,,,
42,0.5911479601298973,,,
43,0.5607347637674158,,,
44,0.58031282024245,,,
45,0.5626799216036465,,,
46,0.748268666132933,,,
47,0.5498229927786824,,,
48,0.7155793885958983,,,
49,0.5498229927786824,,,
50,0.579798362986585,,,
51,0.5541492267654852,,,
52,0.7589913271753767,,,
53,0.569744742492795,,,
54,0.5507643236213083,,,
55,0.5841841571876066,,,
56,0.5498144595484076,,,
57,0.5349274371254731,,,
58,0.5334095073189922,,,
59,0.5283467036646056,,,
60,0.5250882493783643,,,
61,0.5245088059671452,,,
62,0.5226761888828336,,,
63,0.5222433816356878,,,
64,0.5259770125372664,,,
65,0.5224128141288059,,,
66,0.5206775189019227,,,
67,0.5242565346222394,,,
68,0.5202633921324525,,,
69,0.5161194545963468,,,
70,0.5165638453552529,,,
71,0.5158989007248926,,,
72,0.5178614596558982,,,
73,0.5155834409057904,,,
74,0.5158142736501204,,,
75,0.5143704549817955,,,
76,0.5137830735739083,,,
77,0.5105650826067633,,,
78,0.5072395268319109,,,
79,0.5055423803599989,,,
80,0.5029331444931019,,,
81,0.5030379221511149,,,
82,0.5034939408417433,,,
83,0.5004198389789802,,,
84,0.5004424685136191,,,
85,0.5008994617702681,,,
86,0.4997485024763157,,,
87,0.4993160904391393,,,
88,0.4979557723189452,,,
89,0.49480216819670225,,,
90,0.49485854809389745,,,
91,0.49532348775740204,,,
92,0.49393551620837256,,,
93,0.4931588196334774,,,
94,0.4944524090298422,,,
95,0.4927646902466103,,,
96,0.4896449370585153,,,
97,0.48985229044824913,,,
98,0.4893604924135258,,,
99,0.48503056483714907,,,
100,0.4837521754844819,,,
101,0.4823706208005151,,,
102,0.48267266208607057,,,
103,0.4815110902041734,,,
104,0.48164298275031453,,,
105,0.4815657100840446,,,
106,0.4805942632791891,,,
107,0.4804602482860716,,,
108,0.481539228597311,,,
109,0.48100622214240196,,,
110,0.47760369843510375,,,
111,0.47611435167311605,,,
112,0.4773132140841626,,,
113,0.4780549972861926,,,
114,0.47316638523979115,,,
115,0.4707913092461072,,,
116,0.469247865563274,,,
117,0.46788911117166476,,,
118,0.46648663468140017,,,
119,0.4649572263486654,,,
120,,0.47153280284084437,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.
