iteration,noise_profile,loss_plus,loss_minus,step_size,perturbation,validation_loss
0,mixed_training_a,0.6867623352999308,0.6896610207293531,0.042496592517853385,0.1,0.7037646547531996
1,mixed_training_a,0.6427669436397087,0.6539605221974126,0.04032788026382543,0.09323864864368325,
2,mixed_training_a,0.7026004331774081,0.7060597277249535,0.03843072760675149,0.08949746893567632,
3,mild_depolarizing,0.7096747654609882,0.7096747654609882,0.036753899852417955,0.08693445600900217,
4,mixed_training_a,0.7050081261683673,0.7133106163933074,0.03525864085393202,0.08499708457906337,
5,mixed_training_a,0.7343607941579525,0.7339388307764034,0.033915035465063574,0.0834462306059248,0.6818506458281612
6,mixed_training_a,0.6805095097596099,0.6765102464259548,0.032699586016211306,0.08215709941813504,
7,mixed_training_a,0.687020284418088,0.6946206179951528,0.03159355211051194,0.08105651198853092,
8,mild_depolarizing,0.6580690167423466,0.6580690167423466,0.030581785463314515,0.08009796945892347,
9,mixed_training_b,0.7198906160429193,0.7169551335398343,0.02965189459966951,0.07925013304804718,
10,mixed_training_a,0.6793915019751192,0.6744643330277958,0.028793634643214834,0.07849090541066271,0.6737443320228914
11,mixed_training_b,0.700307142519868,0.6926957610009898,0.027998453988895236,0.07780413776105591,
12,mixed_training_b,0.6828218695139668,0.6843576632462555,0.027259152407978604,0.0771776803725934,
13,mixed_training_b,0.7082116649388496,0.707214493709556,0.02656961965978884,0.07660216926231647,
14,mixed_training_b,0.6591647448902753,0.6539828398417816,0.025924633169133026,0.07607023936737776,
15,mild_depolarizing,0.712609604620066,0.712609604620066,0.02531969964898609,0.07557599641581132,0.705795617310338
16,mixed_training_a,0.6773733378970436,0.6834955425964974,0.024750929838853634,0.07511465189716686,
17,mixed_training_a,0.6987787735544106,0.7118296192271011,0.024214938491787755,0.07468226431453037,
18,mild_depolarizing,0.6927640268520072,0.6927640268520072,0.023708763820354996,0.07427555169770554,
19,mixed_training_a,0.7216969903475445,0.7206105827990031,0.023229802089310265,0.07389175310232021,
20,mixed_training_a,0.7507461826535313,0.7493612233350695,0.02277575410740449,0.07352852453019812,0.6824511003606568
21,mild_depolarizing,0.6864107533157154,0.6864107533157154,0.02234458114733331,0.07318385951309357,
22,mixed_training_b,0.6910957125888949,0.6968314324671024,0.0219344683956871,0.07285602767899996,
