iteration,noise_profile,loss_plus,loss_minus,step_size,perturbation,validation_loss
23,mild_depolarizing,0.6760157758855104,0.6760157758855104,0.02154379446178384,0.0725435266372782,
24,mixed_training_a,0.6772408492240537,0.6782427355483006,0.02117110579570567,0.07224504386940453,
25,mixed_training_a,0.7045754220420618,0.7019849569950413,0.020815095110044708,0.07195942623394726,0.6715567124809715
26,mixed_training_a,0.6500953938929589,0.6538236304717442,0.02047458308695589,0.07168565533460755,
27,mixed_training_a,0.7031914282295385,0.7023294676256281,0.02014850279662205,0.07142282745193078,
28,mixed_training_a,0.6754007647575513,0.6773152875754973,0.01983588636569891,0.07117013706275391,
29,mixed_training_b,0.6935402540233407,0.6950665902605525,0.019535853522459165,0.07092686320615818,
30,mixed_training_a,0.6990754608191745,0.7037340014743373,0.01924760171491723,0.07069235812711222,0.7021035563320773
31,mild_depolarizing,0.7099887033960147,0.7099887033960147,0.018970397553460895,0.07046603775710097,
32,mild_depolarizing,0.6654112447018962,0.6654112447018962,0.01870356937365593,0.07024737368723893,
33,mixed_training_a,0.7254132484203818,0.7286548935588438,0.01844650075035901,0.07003588636232516,
34,mixed_training_a,0.7019917366570669,0.6958803100267531,0.0181986248229325,0.06983113928013743,
35,mixed_training_b,0.6727050541754441,0.6697624121612997,0.017959419314629407,0.06963273402337182,0.6868993537776507
36,mild_depolarizing,0.7005861365031293,0.7005861365031293,0.01772840214821296,0.06944030598518225,
37,mixed_training_a,0.6728232704314467,0.675181890821996,0.017505127575452507,0.06925352067558097,
38,mild_depolarizing,0.7096150756964524,0.7096150756964524,0.017289182750968565,0.06907207051673735,
39,mixed_training_a,0.6964514880772018,0.6974102807530401,0.017080184691514247,0.06889567205173026,
40,mixed_training_b,0.7004498287783992,0.7037589502016249,0.01687777757059729,0.06872406350452646,0.669794978259477
41,mixed_training_a,0.7027557867796848,0.7051718896981378,0.016681630305699458,0.06855700263959587,
42,mild_depolarizing,0.7349415618633403,0.7349415618633403,0.016491434401504676,0.0683942648781876,
43,mixed_training_a,0.6655123104062578,0.6760759630221965,0.01630690201771787,0.06823564163530006,
44,mild_depolarizing,0.696634015703825,0.696634015703825,0.01612776423441504,0.06808093884711354,
45,mild_depolarizing,0.6957688707084736,0.6957688707084736,0.015953769491552028,0.06792997566336739,0.6996253379358163
46,mild_depolarizing,0.7054536723368044,0.7054536723368044,0.015784682182387808,0.06778258328305872,
47,mixed_training_a,0.6688104008104238,0.667109523329871,0.015620281383240751,0.0676386039150686,
48,mixed_training_a,0.6683258680628884,0.6746111068219521,0.015460359704269743,0.06749788984801325,
49,mixed_training_b,0.6896617363985488,0.682461422213951,0.015304722247917988,0.06736030261586891,
50,mixed_training_a,0.6874774969009901,0.6863566520969342,0.015153185663328286,0.06722571224780831,0.6818448702373383
51,mild_depolarizing,0.6798596630054149,0.6798596630054149,0.015005577286476696,0.0670939965922805,
52,mixed_training_b,0.7052114789558502,0.6922520446241626,0.014861734357012851,0.06696504070671275,
53,mixed_training_b,0.6841540434037295,0.6882975731433487,0.014721503303868864,0.06683873630535651,
54,mixed_training_b,0.7181030822890052,0.7141411480971143,0.01458473909263022,0.0667149812587736,
55,mild_depolarizing,0.699322557193068,0.699322557193068,0.0144513046284715,0.06659367913928989,0.6673370152409405
56,mild_depolarizing,0.6835182985616252,0.6835182985616252,0.01432107020916508,0.0664747388074562,
57,mild_depolarizing,0.7304910579409892,0.7304910579409892,0.01419391302328678,0.06635807403516891,
58,mixed_training_a,0.7011176805692848,0.7009778982689427,0.014069716689281205,0.06624360316162904,
59,mixed_training_a,0.6980315524682711,0.6882513292787816,0.01394837083152191,0.06613124877877567,0.672787133071544
