profile,sweep_kind,depolarizing_2q,accuracy,balanced_accuracy,f1,roc_auc,log_loss
mild_depolarizing,named_profile,0.008,1.0,1.0,1.0,1.0,0.524786890953717
mixed_training_a,named_profile,0.012,1.0,1.0,1.0,1.0,0.5632876018809004
mixed_training_b,named_profile,0.02,1.0,1.0,1.0,1.0,0.6098270991124783
unseen_phase_heavy,named_profile,0.01,1.0,1.0,1.0,1.0,0.597861666468645
unseen_readout_heavy,named_profile,0.01,1.0,1.0,1.0,1.0,0.5524397043362295
depol2_0.0,two_qubit_depolarizing,0.0,1.0,1.0,1.0,1.0,0.4550407511826572
depol2_0.005,two_qubit_depolarizing,0.005,1.0,1.0,1.0,1.0,0.5001670450019902
depol2_0.01,two_qubit_depolarizing,0.01,1.0,1.0,1.0,1.0,0.5213524807344266
depol2_0.02,two_qubit_depolarizing,0.02,1.0,1.0,1.0,1.0,0.564855014708857
depol2_0.04,two_qubit_depolarizing,0.04,0.8461538461538461,0.8333333333333333,0.875,0.9761904761904763,0.62365802115047
depol2_0.08,two_qubit_depolarizing,0.08,0.46153846153846156,0.44047619047619047,0.5882352941176471,0.6071428571428572,0.6862075582867947
