distance_km,mu,eta_channel,eta_total,gain_analytic,gain_mc,qber_analytic,qber_mc
0,0.1,1.0,0.25,0.02469028303363996,0.02468,0.015003928670844748,0.01094003241491086
0,0.3,1.0,0.25,0.072256699220135,0.07258,0.015001342436011466,0.012951226233122072
0,0.5,1.0,0.25,0.11750327391477611,0.1174,0.015000825508871976,0.013884156729131176
0,0.7,1.0,0.25,0.1605431471221883,0.16252,0.01500060419891376,0.014582820575929117
10,0.1,0.6309573444801932,0.1577393361200483,0.015650373556790997,0.01616,0.015006197934812919,0.01670792079207921
10,0.3,0.6309573444801932,0.1577393361200483,0.04621976989254606,0.04652,0.015002098668931678,0.014832330180567498
10,0.5,0.6309573444801932,0.1577393361200483,0.07583982062260508,0.07647,0.015001279011399374,0.016215509350071922
10,0.7,0.6309573444801932,0.1577393361200483,0.10454000807855068,0.10471,0.01500092787437925,0.015280297965810333
20,0.1,0.3981071705534972,0.0995267926383743,0.009903513274685194,0.00984,0.015009794503466843,0.017276422764227643
20,0.3,0.3981071705534972,0.0995267926383743,0.029416884197696946,0.02918,0.015003297425874572,0.013022618231665525
20,0.5,0.3981071705534972,0.0995267926383743,0.048545674779414405,0.04845,0.015001998118175174,0.014035087719298246
20,0.7,0.3981071705534972,0.0995267926383743,0.06729746454259122,0.0673,0.015001441361807049,0.015156017830609212
30,0.1,0.251188643150958,0.0627971607877395,0.006260238618286285,0.00595,0.015015494616262625,0.011764705882352941
30,0.3,0.251188643150958,0.0627971607877395,0.01866299689987294,0.01819,0.01500519745009996,0.012094557449147883
30,0.5,0.251188643150958,0.0627971607877395,0.030910957699292196,0.03087,0.015003138045609795,0.015225137674117265
30,0.7,0.251188643150958,0.0627971607877395,0.04300605302714544,0.04322,0.015002255496337725,0.015502082369273484
40,0.1,0.15848931924611134,0.039622329811527836,0.003954592902278398,0.00401,0.015024528440094791,0.014962593516209476
40,0.3,0.15848931924611134,0.039622329811527836,0.01181652886354534,0.01167,0.015008208840025947,0.012853470437017995
40,0.5,0.15848931924611134,0.039622329811527836,0.019616409383746314,0.01956,0.015004944839455848,0.01789366053169734
40,0.7,0.15848931924611134,0.039622329811527836,0.027354724275795883,0.0268,0.015003546005221066,0.01753731343283582
50,0.1,0.1,0.025,0.002497077103154277,0.00234,0.015038845414496928,0.017094017094017096
50,0.3,0.1,0.025,0.00747214368646254,0.00787,0.015012981548424792,0.011435832274459974
50,0.5,0.1,0.025,0.012422397021668696,0.01304,0.015007808476490778,0.019171779141104295
50,0.7,0.1,0.025,0.017347960865364054,0.01731,0.015005591434973573,0.013287117273252455
60,0.1,0.06309573444801933,0.015773933612004833,0.0015763496149316936,0.00163,0.015061534569605628,0.006134969325153374
60,0.3,0.06309573444801933,0.015773933612004833,0.004721200016046034,0.00483,0.015020545622886794,0.012422360248447204
60,0.5,0.06309573444801933,0.015773933612004833,0.007856144718270341,0.00808,0.015012347022436747,0.012376237623762377
60,0.7,0.06309573444801933,0.015773933612004833,0.010981214922729743,0.01063,0.015008833266244708,0.015051740357478834
70,0.1,0.039810717055349734,0.009952679263837434,0.000994972612567424,0.00102,0.015097490115685215,0.00980392156862745
70,0.3,0.039810717055349734,0.009952679263837434,0.0029815501038764625,0.00303,0.015032533411052427,0.006600660066006601
70,0.5,0.039810717055349734,0.009952679263837434,0.004964177174496154,0.00487,0.015019539994583827,0.024640657084188913
70,0.7,0.039810717055349734,0.009952679263837434,0.006942861680059531,0.00647,0.015013971183580024,0.00927357032457496
80,0.1,0.025118864315095794,0.006279716078773949,0.0006279743494089773,0.00062,0.015154464900029932,0.0
80,0.3,0.025118864315095794,0.006279716078773949,0.0018823409935159185,0.00189,0.015051531574479306,0.0
80,0.5,0.025118864315095794,0.006279716078773949,0.0031351332132467657,0.00305,0.015030939672576899,0.006557377049180328
80,0.7,0.025118864315095794,0.006279716078773949,0.004386352984747988,0.00447,0.015022114042221433,0.020134228187919462
90,0.1,0.015848931924611134,0.003962232981152784,0.0003963447327915981,0.0005,0.015244736430378712,0.0
90,0.3,0.015848931924611134,0.003962232981152784,0.0011881634685201314,0.0011,0.015081638594076312,0.01818181818181818
90,0.5,0.015848931924611134,0.003962232981152784,0.0019793549787407994,0.00214,0.01504900586107325,0.009345794392523364
90,0.7,0.015848931924611134,0.003962232981152784,0.0027699197602996106,0.00293,0.015035019063184822,0.010238907849829351
100,0.1,0.01,0.0025,0.0002501687026000843,0.00017,0.015387738330553211,0.0
100,0.3,0.01,0.0025,0.0007499186703454619,0.00073,0.015129347353171157,0.0547945205479452
100,0.5,0.01,0.0025,0.001249418825565174,0.00137,0.015077636092171847,0.014598540145985401
100,0.7,0.01,0.0025,0.0017486692931344416,0.00187,0.015055470748805195,0.0053475935828877
110,0.1,0.00630957344480193,0.0015773933612004826,0.00015792686436955083,0.00013,0.015614208326683665,0.07692307692307693
110,0.3,0.00630957344480193,0.0015773933612004826,0.0004733059637467285,0.00041,0.015204941417460621,0.04878048780487805
110,0.5,0.00630957344480193,0.0015773933612004826,0.0007885855834370847,0.00062,0.015123005032224962,0.04838709677419355
110,0.7,0.00630957344480193,0.0015773933612004826,0.001103765754819186,0.00133,0.015087880960864481,0.022556390977443608
120,0.1,0.003981071705534973,0.0009952679263837434,9.972182009698738e-05,0.00011,0.015972705823143616,0.0
120,0.3,0.003981071705534973,0.0009952679263837434,0.00029873574751293486,0.00027,0.015324701666641419,0.0
120,0.5,0.003981071705534973,0.0009952679263837434,0.0004977100644354415,0.00044,0.015194892573074343,0.0
120,0.7,0.003981071705534973,0.0009952679263837434,0.0006966447787485341,0.00062,0.015139238817345437,0.016129032258064516
130,0.1,0.0025118864315095794,0.0006279716078773949,6.299517651819908e-05,5e-05,0.016539800353996895,0.4
130,0.3,0.0025118864315095794,0.0006279716078773949,0.00018857370011737817,0.00019,0.015514387717069995,0.0
130,0.5,0.0025118864315095794,0.0006279716078773949,0.00031413645275746305,0.00028,0.015308782996215058,0.03571428571428571
130,0.7,0.0025118864315095794,0.0006279716078773949,0.0004396834364192026,0.00037,0.015220613257330755,0.0
140,0.1,0.001584893192461114,0.0003962232981152785,3.982153692294599e-05,3e-05,0.017435867688645804,0.0
140,0.3,0.001584893192461114,0.0003962232981152785,0.00011905990125182786,0.00011,0.015814715904203983,0.0
140,0.5,0.001584893192461114,0.0003962232981152785,0.00019829198661225345,0.00013,0.015489177584833506,0.0
140,0.7,0.001584893192461114,0.0003962232981152785,0.0002775177935018247,0.00023,0.015349527119968913,0.08695652173913043
150,0.1,0.001,0.00025,2.5199682492593745e-05,0.0,0.018849254653558772,0.0
150,0.3,0.001,0.00025,7.51971725607703e-05,5e-05,0.016289942052334878,0.0
150,0.5,0.001,0.00025,0.0001251921628169228,0.00014,0.015774808845220364,0.0
150,0.7,0.001,0.00025,0.0001751846533861734,0.00016,0.015553701441466995,0.0
160,0.1,0.000630957344480193,0.00015773933612004825,1.5973806039237815e-05,1e-05,0.02107244102404591,0.0
160,0.3,0.000630957344480193,0.00015773933612004825,4.7520671703105144e-05,4e-05,0.017041216835251127,0.0
160,0.5,0.000630957344480193,0.00015773933612004825,7.906654214617781e-05,6e-05,0.016226814686337073,0.0
160,0.7,0.000630957344480193,0.00015773933612004825,0.00011061141739987512,0.00013,0.01587694378557823,0.0
170,0.1,0.00039810717055349735,9.952679263837434e-05,1.0152627735515729e-05,1e-05,0.024554176281229776,0.0
170,0.3,0.00039810717055349735,9.952679263837434e-05,3.0057586063114705e-05,3e-05,0.018227138563261202,0.0
170,0.5,0.00039810717055349735,9.952679263837434e-05,4.996214817931666e-05,8e-05,0.016941469665289054,0.125
170,0.7,0.00039810717055349735,9.952679263837434e-05,6.986631409211519e-05,9e-05,0.016388365714769645,0.1111111111111111
180,0.1,0.00025118864315095795,6.279716078773949e-05,6.4796950953738275e-06,0.0,0.02996983942532621,0.0
180,0.3,0.00025118864315095795,6.279716078773949e-05,1.9038967002837914e-05,1e-05,0.02009481397222661,0.0
180,0.5,0.00025118864315095795,6.279716078773949e-05,3.1598081173811465e-05,3e-05,0.018069806504048536,0.0
180,0.7,0.00025118864315095795,6.279716078773949e-05,4.415703761062595e-05,2e-05,0.01719670522189826,0.0
190,0.1,0.00015848931924611142,3.9622329811527855e-05,4.162224328974062e-06,1e-05,0.03830484554318323,0.0
190,0.3,0.00015848931924611142,3.9622329811527855e-05,1.208662590956866e-05,0.0,0.02302539896812953,0.0
190,0.5,0.00015848931924611142,3.9622329811527855e-05,2.0010964693617517e-05,3e-05,0.01984734227399632,0.0
190,0.7,0.00015848931924611142,3.9622329811527855e-05,2.793524068189779e-05,6e-05,0.018472316426673085,0.0
200,0.1,0.0001,2.5e-05,2.6999963648188796e-06,1e-05,0.050925972481569215,0.0
200,0.3,0.0001,2.5e-05,7.699970364982711e-06,1e-05,0.027597450445257365,0.0
200,0.5,0.0001,2.5e-05,1.2699919365255496e-05,0.0,0.02263784338412361,0.0
200,0.7,0.0001,2.5e-05,1.769984336585928e-05,3e-05,0.02048027420908823,0.0
