family,shots,n_test,n_sampling_seeds,ba_mean,ba_std,f1_mean,f1_std,brier_mean,brier_std
tfim,128,22,20,0.9431818181818181,0.032561381791426335,0.944042913608131,0.03386573876855074,0.14428613836115056,0.005514067295876207
tfim,256,22,20,0.9545454545454545,0.025543249406773473,0.955267268962921,0.026508016644833494,0.14288746226917615,0.0034352974894454893
tfim,512,22,20,0.9522727272727272,0.010163945352271787,0.9541501976284584,0.010605856019761863,0.14209755984219638,0.0036481515046804013
tfim,1024,22,20,0.9545454545454544,2.278129578503827e-16,0.9565217391304346,2.278129578503827e-16,0.14293561848727138,0.002549679493159048
tfim,2048,22,20,0.9545454545454544,2.278129578503827e-16,0.9565217391304346,2.278129578503827e-16,0.14287209781733426,0.0017777191199720083
tfim,4096,22,20,0.9545454545454544,2.278129578503827e-16,0.9565217391304346,2.278129578503827e-16,0.14229161658070305,0.0015497598259812343
tfim,8192,22,20,0.9545454545454544,2.278129578503827e-16,0.9565217391304346,2.278129578503827e-16,0.1421627948568626,0.0009952165763319404
xxz,128,22,20,0.8772727272727273,0.04686797649281083,0.8903004459308808,0.04138058947316103,0.17087277499112213,0.00730409349600956
xxz,256,22,20,0.8954545454545455,0.03642339587209238,0.9062859531772576,0.029906226354070357,0.1683595830743963,0.006240481241181195
xxz,512,22,20,0.8863636363636364,0.031283963709622095,0.8986337792642141,0.025294875803499425,0.16808225458318538,0.003660986952790788
xxz,1024,22,20,0.8977272727272728,0.03866801405560915,0.9082787068004461,0.03189598123325141,0.16724585403095593,0.002484321345101612
xxz,2048,22,20,0.9,0.03162965336083908,0.9098115942028985,0.026394328681822517,0.16760709285736086,0.0019779643377400877
xxz,4096,22,20,0.8909090909090912,0.022846576815910697,0.9020000000000001,0.018429571964834583,0.16711940494450656,0.0013520357392342761
xxz,8192,22,20,0.8931818181818183,0.022243658405890623,0.9038333333333334,0.017943217780751718,0.16685054430907423,0.0010746637809624555
cluster,128,22,20,0.8636363636363636,0.041711951612829465,0.8811125356125356,0.0319236551625761,0.1585445057262074,0.005741943337712501
cluster,256,22,20,0.8727272727272728,0.048014062026036794,0.8886236838845534,0.03778179608954146,0.15795107754794036,0.005267561378866543
cluster,512,22,20,0.8704545454545455,0.03694216822214773,0.8862235228539574,0.02936647082733706,0.15735852501609107,0.00335879370611107
cluster,1024,22,20,0.8909090909090909,0.034269865223866026,0.9024598662207357,0.02797348691755253,0.15657705610448663,0.0027859609027009427
cluster,2048,22,20,0.9068181818181819,0.049956483890798646,0.9165501672240802,0.04123511032541933,0.15572338808666575,0.002240606314606324
cluster,4096,22,20,0.909090909090909,0.03612360973813757,0.9176231884057972,0.030417211883432865,0.15603036921132693,0.0014128567568068146
cluster,8192,22,20,0.9045454545454547,0.025113920520594673,0.9133188405797101,0.020939100405187646,0.15582188784398815,0.0009905476121965316
